ID	Name	Level	LevelRate	Exp	ExpType	Life	LifeReplenish	Mana	ManaReplenish	Attack	Hit	Duck	Armor	Critical	DeCritical	IgnoreDef	WalkSpeed	RunSpeed	AIMode
41	年兽（年兽山洞）	10	1	100	1	10000	0	86	0	70	10000	1	0		1000		15	15	1
42	年兽分身（年兽山洞）	10	1	4	1	800	0	86	0	70	10000	1	0		1000		15	15	1
43	蜘蛛苍蝇（稻田）	12	1	4	1	1200	0	86	0	50	10000	1	0		1000		15	15	1
44	红孩儿（火焰山）	17	1	100	1	20000	0	86	0	130	10000	1	0		1000		15	15	1
45	战斗树精（火焰山）	1	1	4	1	10000	0	86	0	2400	10000	1	0		1000		0	0	1
46	熔岩怪（火焰山）	16	1	4	1	2500	0	86	0	65	10000	1	0		1000		15	15	1
47	超级熔岩怪（火焰山）	17	1	4	1	4500	0	86	0	70	10000	1	0		1000		15	15	1
48	冰冻树精（火焰山）	1	1	4	1	10000	0	86	0	1	10000	1	0		1000		0	0	1
49	巨灵神（大闹天宫）	19	1	50	1	17000	0	86	0	80	10000	1	0		1000		15	15	1
50	天兵（大闹天宫）	19	1	4	1	1500	0	86	0	20	10000	1	0		1000		15	15	1
51	哪咤（大闹天宫）	19	1	50	1	23000	0	86	0	80	10000	1	0		1000		15	15	1
52	二郎神（大闹天宫）	19	1	50	1	38000	0	86	0	140	10000	1	0		1000		15	15	1
53	哮天犬（大闹天宫）	19	1	4	1	3000	0	86	0	130	10000	1	0		1000		15	15	1
54	哮天犬儿子（大闹天宫）	19	1	4	1	500	0	86	0	20	10000	1	0		1000		15	15	1
55	孙悟空（大闹天宫）	19	1	4	1	100000	0	86	0	6000	10000	1	0		1000		15	15	1
56	天兵（大闹天宫多点血）	19	1	4	1	1800	0	86	0	10	10000	1	0		1000		15	15	1
60	偷桃鸟（蟠桃树前）	21	1	5	1	800	0	86	0	160	10000	1	0		1000		10	10	1
60	偷桃鸟（蟠桃树前）(困)	26	1	10	1	6100	0	86	0	190	10000	1	0		1000		10	10	1
61	偷桃鸟人（蟠桃树前）	21	1	5	1	1800	0	86	0	140	10000	1	0		1000		10	10	1
61	偷桃鸟人（蟠桃树前）（困）	26	1	10	1	10500	0	86	0	230	10000	1	0		1000		10	10	1
65	近攻猕猴（蟠桃树后）	22	1	5	1	1500	0	86	0	130	10000	1	0		1000		10	10	1
65	近攻猕猴（蟠桃树后）（困）	26	1	10	1	8000	0	86	0	250	10000	1	0		1000		10	10	1
66	远攻猕猴（蟠桃树后）	22	1	5	1	1500	0	86	0	160	10000	1	0		1000		10	10	1
66	远攻猕猴（蟠桃树后）（困）	26	1	10	1	10000	0	86	0	330	10000	1	0		1000		10	10	1
70	火焰猕猴（花果山）	23	1	5	1	4000	0	86	0	80	10000	1	0		1000		8	8	1
70	火焰猕猴（花果山）（困）	26	1	10	1	6000	0	86	0	280	10000	1	0		1000		8	8	1
71	大眼猕猴（花果山）	23	1	5	1	2200	0	86	0	100	10000	1	0		1000		9	9	1
71	大眼猕猴（花果山）（困）	26	1	10	1	12000	0	86	0	280	10000	1	0		1000		9	9	1
72	猕猴祭司（花果山）	23	1	5	1	14000	0	86	0	200	10000	1	0		1000		9	9	1
72	猕猴祭司（花果山）（困）	26	1	10	1	60000	0	86	0	850	10000	1	0		1000		9	9	1
73	猕猴法师（花果山）	23	1	5	1	2200	0	86	0	100	10000	1	0		1000		9	9	1
73	猕猴法师（花果山）（困）	26	1	10	1	14000	0	86	0	550	10000	1	0		1000		9	9	1
75	巨石(巨人来袭)	1	1	5	1	900000	0	86	0	1000000	10000	1	0		1000		15	15	1
76	巨人侏儒(巨人来袭)	24	1	5	1	30000	0	86	0	480	10000	1	0		1000		15	15	1
76	巨人侏儒(巨人来袭)(困)	26	1	10	1	110000	0	86	0	1190	10000	1	0	100	1000		20	20	1
77	奴隶(巨人来袭)	24	1	5	1	4000	0	86	0	150	10000	1	0		1000		15	15	1
77	奴隶(巨人来袭)（困）	26	1	10	1	10000	0	86	0	300	10000	1	0		1000		20	20	1
78	牛兵（小人国）	25	1	5	1	2000	0	86	0	100	10000	1	0		1000		15	15	1
78	牛兵（小人国）(困)	26	1	10	1	10000	0	86	0	320	10000	1	0		1000		20	20	1
79	邪恶牛兵（小人国）	25	1	5	1	9500	0	86	0	110	10000	1	0		1000		15	15	1
79	邪恶牛兵（小人国）（困）	26	1	10	1	35000	0	86	0	600	10000	1	0		1000		20	20	1
80	邪化牛魔王（牛魔王洞2）	26	1	5	1	45000	0	86	0	680	10000	1	0		1000		10	10	1
80	邪化牛魔王（牛魔王洞2）（困）	25	1	10	1	130000	0	86	0	2080	10000	1	0		1000		20	20	1
81	邪恶牛兵（牛魔王洞2）	26	1	5	1	4000	0	86	0	110	10000	1	0		1000		10	10	1
81	邪恶牛兵（牛魔王洞2）（困）	25	1	10	1	12000	0	86	0	290	10000	1	0		1000		20	20	1
82	邪恶牛兵团长（牛魔王洞2）	26	1	5	1	8500	0	86	0	130	10000	1	0		1000		10	10	1
82	邪恶牛兵团长（牛魔王洞2）（困）	25	1	10	1	17000	0	86	0	320	10000	1	0		1000		20	20	1
83	巨人（复仇巨人）	29	1	5	1	65000	0	86	0	2300	10000	1	0		1000		0	0	1
83	巨人（复仇巨人）（困）	26	1	10	1	190000	0	86	0	4300	10000	1	0		1000		0	0	1
84	旋风	1	1	5	1	2400	0	86	0	10	10000	1	0		1000		14	14	1
84	旋风（困）	26	1	10	1	5400	0	86	0	200	10000	1	0		1000		14	14	1
85	魔兵（复仇巨人）	29	1	5	1	2500	0	86	0	220	10000	1	0		1000		12	12	1
85	魔兵（复仇巨人）（困）	26	1	10	1	15000	0	86	0	480	10000	1	0		1000		12	12	1
86	天兵（复仇巨人）（站打）	29	1	50	1	100000	0	86	0	1	10000	1	0		1000		12	12	1
87	年兽（年兽山洞）	10	1	50	1	1000	0	86	0	50	10000	1	0		1000		12	12	1
88	蛤蟆（稻田）	12	1	50	1	9000	0	86	0	90	10000	1	0		1000		15	15	1
89	牛魔王（牛魔王洞1）	15	1	5	1	25000	0	86	0	120	10000	1	0		1000		10	10	1
90	牛兵守卫（牛魔王洞1）	14	1	5	1	1500	0	86	0	45	10000	1	0		1000		10	10	1
91	牛兵团长（牛魔王洞1）	14	1	5	1	3000	0	86	0	60	10000	1	0		1000		10	10	1
92	空虚公子（决斗山崖）	16	1	50	1	15000	0	86	0	130	10000	1	0		1000		10	10	1
93	天残脚（决斗山崖）	16	1	50	1	20000	0	86	0	120	10000	1	0		1000		10	10	1
94	江湖人士（决斗山崖）	15	1	5	1	2500	0	86	0	70	10000	1	0		1000		10	10	1
95	狂暴熊精（吊桥）	14	1	5	1	2200	0	86	0	80	10000	1	0		1000		15	15	1
100	鱼怪（深海小道）	28	1	5	1	1000	0	86	0	250	10000	1	0		1000		15	15	1
100	鱼怪（深海小道）（困）	26	1	10	1	4000	0	86	0	350	10000	1	0		1000		15	15	1
101	鱼怪恶霸（深海小道）	28	1	5	1	15000	0	86	0	380	10000	1	0		1000		15	15	1
101	鱼怪恶霸（深海小道）（困）	26	1	10	1	80000	0	86	0	1500	10000	1	0		1000		20	20	1
102	新手村鱼怪（大）	4	1	4	1	350	0	86	0	3	10000	1	0		1000		15	15	1
105	钓鱼翁（池塘）	30	1	5	1	4000	0	86	0	130	10000	1	0		1000		15	15	1
105	钓鱼翁（池塘）（困）	26	1	10	1	25000	0	86	0	530	10000	1	0		1000		15	15	1
106	超猛钓鱼翁（池塘）	30	1	5	1	50000	0	86	0	530	10000	1	0		1000		15	15	1
106	超猛钓鱼翁（池塘）（困）	26	1	10	1	210000	0	86	0	3100	10000	1	0		1000		20	20	1
110	天香羚（天香崖）	31	1	5	1	4000	0	86	0	130	10000	1	0		1000		15	15	1
110	天香羚（天香崖）（困）	26	1	10	1	15000	0	86	0	630	10000	1	0		1000		20	20	1
111	巨型天香羚（天香崖）	31	1	5	1	20000	0	86	0	600	10000	1	0		1000		15	15	1
111	巨型天香羚（天香崖）（困）	26	1	10	1	60000	0	86	0	1000	10000	1	0		1000		20	20	1
115	百年老妖（神秘盆地1）	32	1	5	1	8000	0	86	0	230	10000	1	0		1000		15	15	1
115	百年老妖（神秘盆地1）（困）	26	1	10	1	30000	0	86	0	680	10000	1	0		1000		20	20	1
116	精英百年老妖（神秘盆地1）	32	1	5	1	14000	0	86	0	490	10000	1	0		1000		15	15	1
116	精英百年老妖（神秘盆地1）（困）	26	1	10	1	68000	0	86	0	1500	10000	1	0		1000		20	20	1
120	百年老妖（神秘盆地2）	33	1	5	1	8000	0	86	0	230	10000	1	0		1000		15	15	1
120	百年老妖（神秘盆地2）（困）	26	1	10	1	22000	0	86	0	730	10000	1	0		1000		20	20	1
121	千年老妖（神秘盆地2）	33	1	5	1	40000	0	86	0	1300	10000	1	0		1000		15	15	1
121	千年老妖（神秘盆地2）（困）	26	1	10	1	360000	0	86	0	4300	10000	1	0		1000		20	20	1
123	老树精（树精林）	35	1	5	1	12000	0	86	0	200	10000	1	0		1000		15	15	1
123	老树精（树精林）（困）	26	1	10	1	32000	0	86	0	1400	10000	1	0		1000		20	20	1
124	老树妖（树精林）	35	1	5	1	40000	0	86	0	1200	10000	1	0		1000		15	15	1
124	老树妖（树精林）（困）	26	1	10	1	420000	0	86	0	5400	10000	1	0		1000		20	20	1
126	螃蟹精（海边）	36	1	5	1	12000	0	86	0	200	10000	1	0		1000		15	15	1
126	螃蟹精（海边）（困）	26	1	10	1	32000	0	86	0	500	10000	1	0		1000		20	20	1
127	大螃蟹精（海边）	36	1	5	1	50000	0	86	0	1200	10000	1	0		1000		15	15	1
127	大螃蟹精（海边）（困）	26	1	10	1	450000	0	86	0	5900	10000	1	0		1000		20	20	1
129	狐狸（小庙）	37	1	5	1	12000	0	86	0	200	10000	1	0		1000		15	15	1
129	狐狸（小庙）（困）	26	1	10	1	42000	0	86	0	500	10000	1	0		1000		20	20	1
130	狐狸精（小庙）	37	1	5	1	40000	0	86	0	1400	10000	1	0		1000		15	15	1
130	狐狸精（小庙）（困）	26	1	10	1	490000	0	86	0	6900	10000	1	0		1000		20	20	1
131	鼓灵童（降雷台）	38	1	5	1	12000	0	86	0	200	10000	1	0		1000		15	15	1
131	鼓灵童（降雷台）（困）	26	1	10	1	42000	0	86	0	800	10000	1	0		1000		20	20	1
132	大鼓灵童（降雷台）	38	1	5	1	32000	0	86	0	1800	10000	1	0		1000		15	15	1
132	大鼓灵童（降雷台）（困）	26	1	10	1	472000	0	86	0	6900	10000	1	0		1000		20	20	1
138	螃蟹精（东海海边）	40	1	50	1	24000	0	86	0	1200	10000	1	0		1000		15	15	1
138	螃蟹精（东海海边）（困）	26	1	100	1	39000	0	86	0	3000	10000	1	0		1000		20	20	1
139	大螃蟹精（东海海边）	40	1	50	1	80000	0	86	0	3000	10000	1	0		1000		15	15	1
139	大螃蟹精（东海海边）（困）	26	1	100	1	300000	0	86	0	5500	10000	1	0		1000		20	20	1
140	精卫	40	1	10	1	500000	0	86	0	8000	10000	1	0		1000		20	20	1
141	仙草灵（仙草地）	41	1	50	1	24000	0	86	0	1200	10000	1	0		1000		15	15	1
141	仙草灵（仙草地）（困）	26	1	100	1	42000	0	86	0	3600	10000	1	0		1000		20	20	1
142	精英仙草灵（仙草地）	41	1	50	1	80000	0	86	0	5400	10000	1	0		1000		15	15	1
142	精英仙草灵（仙草地）（困）	26	1	100	1	350000	0	86	0	8000	10000	1	0		1000		20	20	1
143	僵尸兵（魔王营地1）	42	1	50	1	42000	0	86	0	1200	10000	1	0		1000		15	15	1
143	僵尸兵（魔王营地1）（困）	26	1	100	1	82000	0	86	0	3600	10000	1	0		1000		20	20	1
144	精英僵尸兵（魔王营地2）	42	1	50	1	140000	0	86	0	6000	10000	1	0		1000		15	15	1
144	精英僵尸兵（魔王营地2）（困）	26	1	100	1	550000	0	86	0	9700	10000	1	0		1000		20	20	1
145	魔王分身（魔王营地2）	43	1	50	1	60000	0	86	0	7000	10000	1	0		1000		15	15	1
145	魔王分身（魔王营地2）（困）	26	1	100	1	600000	0	86	0	10300	10000	1	0		1000		20	20	1
146	二郎神（受污泉眼1）	44	1	50	1	60000	0	86	0	6000	10000	1	0		1000		15	15	1
146	二郎神（受污泉眼1）（困）	26	1	100	1	300000	0	86	0	9000	10000	1	0		1000		20	20	1
147	哮天犬（受污泉眼1）	44	1	50	1	45000	0	86	0	2000	10000	1	0		1000		15	15	1
147	哮天犬（受污泉眼1）（困）	26	1	100	1	95000	0	86	0	4000	10000	1	0		1000		20	20	1
148	孙悟空（受污泉眼1）	44	1	50	1	60000	0	86	0	6000	10000	1	0		1000		15	15	1
148	孙悟空（受污泉眼1）（困）	26	1	100	1	600000	0	86	0	12000	10000	1	0		1000		20	20	1
149	大眼猴（受污泉眼1）	44	1	50	1	45000	0	86	0	2000	10000	1	0		1000		15	15	1
149	大眼猴（受污泉眼1）（困）	26	1	100	1	95000	0	86	0	4000	10000	1	0		1000		20	20	1
150	怨灵（受污泉眼2）	45	1	50	1	120000	0	86	0	5000	10000	1	0		1000		15	15	1
150	怨灵（受污泉眼2）（困）	26	1	100	1	350000	0	86	0	12500	10000	1	0		1000		20	20	1
151	尸鬼王（受污泉眼2）	45	1	50	1	120000	0	86	0	5000	10000	1	0		1000		15	15	1
151	尸鬼王（受污泉眼2）（困）	26	1	100	1	950000	0	86	0	9500	10000	1	0		1000		20	20	1
152	阿婆（受污泉眼2）	45	1	50	1	5000	0	86	0	1	10000	1	0		1000		10	10	1
153	熔岩魔兵（炎热之地）	46	1	100	1	15000	0	86	0	3000	10000	1	0		1000		15	15	1
153	熔岩魔兵（炎热之地）（困）	46	1	50	1	60000	0	86	0	5000	10000	1	0		1000		15	15	1
154	熔岩刀兵（炎热之地）	26	1	100	1	165000	0	86	0	5000	10000	1	0		1000		20	20	1
154	熔岩刀兵（炎热之地）（困）	26	1	50	1	700000	0	86	0	9500	10000	1	0		1000		20	20	1
155	熔岩将军（炎热之路）	47	1	100	1	500000	0	86	0	5000	10000	1	0		1000		15	15	1
155	熔岩将军（炎热之路）（困）	26	1	50	1	800000	0	86	0	9500	10000	1	0		1000		20	20	1
156	徐福（炎热之路）	47	1	100	1	500000	0	86	0	300	10000	1	0		1000		20	20	1
160	喜酒蝇（酒仙泉）	50	1	50	1	25000	0	86	0	3000	10000	1	0		1000		15	15	1
160	喜酒蝇（酒仙泉）（困）	26	1	100	1	75000	0	86	0	6200	10000	1	0		1000		20	20	1
161	大喜酒蝇（酒仙泉）	50	1	50	1	35000	0	86	0	3000	10000	1	0		1000		15	15	1
161	大喜酒蝇（酒仙泉）（困）	26	1	100	1	805000	0	86	0	8000	10000	1	0		1000		20	20	1
162	大喜酒蛙（酒仙泉）	50	1	50	1	35000	0	86	0	3000	10000	1	0		1000		15	15	1
162	大喜酒蛙（酒仙泉）（困）	26	1	100	1	705000	0	86	0	10000	10000	1	0		1000		20	20	1
165	强盗（营地）	51	1	50	1	18000	0	86	0	4000	10000	1	0		1000		15	15	1
165	强盗（营地）（困）	26	1	100	1	70000	0	86	0	8000	10000	1	0		1000		20	20	1
166	强盗（营地）	51	1	50	1	18000	0	86	0	4000	10000	1	0		1000		15	15	1
166	强盗（营地）（困）	26	1	100	1	70000	0	86	0	8000	10000	1	0		1000		20	20	1
167	大强盗（营地）	51	1	50	1	60000	0	86	0	5000	10000	1	0		1000		15	15	1
167	大强盗（营地）（困）	26	1	100	1	120000	0	86	0	10000	10000	1	0		1000		20	20	1
168	首领（营地）	51	1	50	1	200000	0	86	0	8000	10000	1	0		1000		15	15	1
168	首领（营地）（困）	26	1	100	1	900000	0	86	0	15000	10000	1	0		1000		20	20	1
170	机关人（机关城1层）	52	1	50	1	60000	0	86	0	4000	10000	1	0		1000		15	15	1
170	机关人（机关城1层）（困）	26	1	100	1	176000	0	86	0	8000	10000	1	0		1000		20	20	1
171	机关兽（机关城1层）	52	1	50	1	180000	0	86	0	6000	10000	1	0		1000		15	15	1
171	机关兽（机关城1层）（困）	26	1	100	1	950000	0	86	0	12000	10000	1	0		1000		20	20	1
172	机关（机关城1层）	52	1	50	1	60000	0	86	0	200	10000	1	0		1000		15	15	1
172	机关（机关城1层）（困）	26	1	100	1	60000	0	86	0	1000	10000	1	0		1000		20	20	1
173	火球（机关城1层）	52	1	50	1	30000	0	86	0	12000	10000	1	0		1000		15	15	1
173	火球（机关城1层）（困）	26	1	100	1	30000	0	86	0	25000	10000	1	0		1000		20	20	1
175	机关人（机关城2层）	53	1	50	1	60000	0	86	0	4000	10000	1	0		1000		15	15	1
175	机关人（机关城2层）（困）	26	1	100	1	176000	0	86	0	8000	10000	1	0		1000		20	20	1
176	机关兽（机关城2层）	53	1	50	1	180000	0	86	0	6000	10000	1	0		1000		15	15	1
176	机关兽（机关城2层）（困）	26	1	100	1	950000	0	86	0	12000	10000	1	0		1000		20	20	1
177	超级机关兽（机关城2层）	53	1	50	1	300000	0	86	0	8000	10000	1	0		1000		15	15	1
177	超级机关兽（机关城2层）（困）	26	1	100	1	1480000	0	86	0	15000	10000	1	0		1000		20	20	1
178	机关邪童（机关城2层）	53	1	50	1	500000	0	86	0	12500	10000	1	0		1000		15	15	1
178	机关邪童（机关城2层）（困）	26	1	100	1	2050000	0	86	0	20000	10000	1	0		1000		20	20	1
180	熔岩刀将（万魔城外）	55	1	50	1	60000	0	86	0	700	10000	1	0		1000		15	15	1
180	熔岩刀将（万魔城外）（困）	26	1	100	1	120000	0	86	0	800	10000	1	0		1000		20	20	1
181	魔兵刀将（万魔城外）	55	1	50	1	20000	0	86	0	700	10000	1	0		1000		15	15	1
181	魔兵刀将（万魔城外）（困）	26	1	100	1	150000	0	86	0	1000	10000	1	0		1000		20	20	1
182	魔兵弓将（万魔城外）	55	1	50	1	30000	0	86	0	700	10000	1	0		1000		15	15	1
182	魔兵弓将（万魔城外）（困）	26	1	100	1	150000	0	86	0	1200	10000	1	0		1000		20	20	1
183	左右魔将军（万魔城外）	55	1	50	1	250000	0	86	0	2000	10000	1	0		1000		15	15	1
183	左右魔将军（万魔城外）（困）	26	1	100	1	900000	0	86	0	8000	10000	1	0		1000		20	20	1
185	幽灵（万魔城桥）	56	1	50	1	60000	0	86	0	7000	10000	1	0		1000		15	15	1
185	幽灵（万魔城桥）（困）	26	1	100	1	80000	0	86	0	9000	10000	1	0		1000		20	20	1
186	恶灵（万魔城桥）	56	1	50	1	60000	0	86	0	7000	10000	1	0		1000		15	15	1
186	恶灵（万魔城桥）（困）	26	1	100	1	90000	0	86	0	10000	10000	1	0		1000		20	20	1
187	怨灵（万魔城桥）	56	1	50	1	100000	0	86	0	7000	10000	1	0		1000		15	15	1
187	怨灵（万魔城桥）（困）	26	1	100	1	150000	0	86	0	15000	10000	1	0		1000		20	20	1
188	徐福（万魔城桥）	56	1	50	1	600000	0	86	0	15000	10000	1	0		1000		15	15	1
188	徐福（万魔城桥）（困）	26	1	100	1	3100000	0	86	0	31000	10000	1	0		1000		20	20	1
190	符令僵王（万魔城）	57	1	50	1	150000	0	86	0	7000	10000	1	0		1000		15	15	1
190	符令僵王（万魔城）（困）	26	1	100	1	190000	0	86	0	10000	10000	1	0		1000		20	20	1
191	千年老妖（万魔城）	57	1	50	1	170000	0	86	0	7000	10000	1	0		1000		15	15	1
191	千年老妖（万魔城）（困）	26	1	100	1	210000	0	86	0	10000	10000	1	0		1000		20	20	1
192	机关邪童（万魔城）	57	1	50	1	280000	0	86	0	7000	10000	1	0		1000		15	15	1
192	机关邪童（万魔城）（困）	26	1	100	1	430000	0	86	0	15000	10000	1	0		1000		20	20	1
193	大魔将（万魔城）	57	1	50	1	600000	0	86	0	20000	10000	1	0		1000		15	15	1
193	大魔将（万魔城）（困）	26	1	100	1	3200000	0	86	0	33000	10000	1	0		1000		20	20	1
195	大将军（万魔城顶）	59	1	50	1	1000000	0	86	0	24000	10000	1	0		1000		15	15	1
195	大将军（万魔城顶）（困）	26	1	100	1	5550000	0	86	0	44000	10000	1	0		1000		20	20	1
196	魔兵刀将（万魔城顶）	59	1	50	1	280000	0	86	0	7000	10000	1	0		1000		15	15	1
196	魔兵刀将（万魔城顶）（困）	26	1	100	1	570000	0	86	0	10000	10000	1	0		1000		20	20	1
500	伐魔塔-魔兵	12	1	180	1	3622.5				18	100				1000		10	10	1
501	伐魔塔-白脸鬼	13	1	195	1	3984.75				24	110				1000		10	10	1
502	伐魔塔-黑脸鬼	14	1	210	1	4226.25				30	120				1000		10	10	1
503	伐魔塔-鱼怪	15	1	225	1	5433.75				36	130				1000		10	10	1
504	伐魔塔-怪盗小李（5层）	16	1	480	1	56925				480	140		100		1000		30	30	1
505	伐魔塔-河妖	17	1	255	1	6641.25				176.4	150						10	10	1
506	伐魔塔-恶霸	18	1	270	1	7848.75				252	160				1000		10	10	1
507	伐魔塔-狂暴者	19	1	285	1	8452.5				277.2	170				1000		10	10	1
508	伐魔塔-强盗	20	1	300	1	9056.25				315	180				1000		10	10	1
509	伐魔塔-邪恶大土豪（10层）	21	1	630	1	75900				1890	190		200		1000		30	30	1
510	伐魔塔-毒虫	22	1	330	1	9660				504	200				1000		10	10	1
511	伐魔塔-熊精	23	1	345	1	9901.5				567	210				1000		10	10	1
512	伐魔塔-年兽	24	1	360	1	9901.5				630	220				1000		10	10	1
513	伐魔塔-毒蜘蛛	25	1	375	1	9901.5				819	230				1000		10	10	1
514	伐魔塔-牛魔王（15层）	26	1	780	1	107525				2520	240		300				30	30	1
515	伐魔塔-蟾蜍	27	1	405	1	10458				907.2	250						10	10	1
516	伐魔塔-怪盗小李	28	1	420	1	10458				972	260				1000		10	10	1
517	伐魔塔-牛兵	29	1	435	1	10458				1036.8	270				1000		10	10	1
518	伐魔塔-哮天犬	30	1	450	1	11340				1101.6	280				1000		10	10	1
519	伐魔塔-西域飞龙（20层）	31	1	930	1	171600				5184	290		500		1000		30	30	1
520	伐魔塔-黑老鸦	64	1	960	1	11970				1944	300				1000		10	10	1
521	伐魔塔-鸟人	65	1	975	1	12600				2008.8	310				1000		10	10	1
522	伐魔塔-猕猴	66	1	990	1	13230				2073.6	320				1000		10	10	1
523	伐魔塔-江湖人士	67	1	1005	1	13860				2138.4	330				1000		10	10	1
524	伐魔塔-大巨人 （25层）	68	1	2040	1	198000				5832	340		800		1000		30	30	1
525	伐魔塔-毒箭兵	69	1	1035	1	15093.75				2376	350				1000		10	10	1
526	伐魔塔-熔岩怪	70	1	1050	1	15750				2508	360				1000		10	10	1
527	伐魔塔-鬼魂	71	1	1065	1	16406.25				2640	370						10	10	1
528	伐魔塔-食人花	72	1	1080	1	17062.5				2772	380				1000		10	10	1
529	伐魔塔-右封印将军 （30层）	73	1	2190	1	275000				7260	390		1200		1000		30	30	1
530	伐魔塔-黑老鸦	74	1	1110	1	19687.5				3960	400				1000		10	10	1
531	伐魔塔-鸟人	75	1	1125	1	20343.75				4092	410				1000		10	10	1
532	伐魔塔-猕猴	76	1	1140	1	21000				4224	420				1000		10	10	1
533	伐魔塔-江湖人士	77	1	1155	1	21656.25				4356	430				1000		10	10	1
534	伐魔塔-大巨人 （35层）	78	1	2340	1	343750				7788	440		1800		1000		30	30	1
535	伐魔塔-毒箭兵	79	1	1185	1	23205				4830	450				1000		10	10	1
536	伐魔塔-熔岩怪	80	1	1200	1	23887.5				4968	460				1000		10	10	1
537	伐魔塔-鬼魂	81	1	1215	1	24570				5106	470				1000		10	10	1
538	伐魔塔-食人花	82	1	1230	1	25252.5				5244	480				1000		10	10	1
539	伐魔塔-<color=green>[BOSS]钓鱼翁	83	1	2490	1	421200				8694	490		2500		1000		30	30	1
540	伐魔塔-百年老妖	84	1	1260	1	26932.5				5522.4	500				1000		10	10	1
541	伐魔塔-鼓灵童	85	1	1275	1	27641.25				5664	510				1000		10	10	1
542	伐魔塔-螃蟹精	86	1	1290	1	28350				5805.6	520				1000		10	10	1
543	伐魔塔-僵尸兵	87	1	1305	1	29058.75				5947.2	530				1000		10	10	1
544	伐魔塔-<color=green>[精英]瘟癀魔将	88	1	2640	1	486000				9487.2	540		3000		1000		30	30	1
545	伐魔塔-大眼猴	89	1	1335	1	32340				6912	550				1000		10	10	1
546	伐魔塔-怨灵	90	1	1350	1	33810				7056	560				1000		10	10	1
