ID	Name	Desc	Persist	Group	Level	Position	Debuff	Category	Category1	Category2	SkillMagnification	Grow	K	GroundBuff	BuffDelayFrame	Stack	Precond	Sync	Save	Death	Plus	NeedAgree	BuffRelation	BuffRadius	BuffEffectNum	Etimer1	Etimer2	Etimer3	Etimer4	Etimer5	Etrigger1	Etrigger2	Etrigger3	Etrigger4	Etrigger5	IfUseSkillLv	EffectMapType
8	远控2	主角技能buff	48	0	1	1	4	8	2	1	0	0	0	0		1	None()	1	0	0	0	0	3	0	1	8										1	
7	近战必杀1	主角技能buff	40	1	1	1	2	7	2	1	0	0	0	0		1	None()	1	0	0	0	0	3	0	1	22										1	
10	近战必杀2	主角技能buff	32	1	1	1	2	10	2	1	0	0	0	0		1	None()	1	0	0	0	0	3	5	15	16										1	
27	近战必杀3	主角技能buff	24	1	1	1	2	27	2	1	0	0	0	0		1	None()	1	0	0	0	0	3	0	1	1										1	
28	远程必杀1	主角技能buff	40	0	1	1	2	28	2	1	0	0	0	0		1	None()	1	0	0	0	0	3	0	1	29										1	
29	远程必杀2	主角技能buff	32	1	1	1	2	29	2	1	0	0	0	0		1	None()	0	0	0	0	0	3	5	10	30										1	
11	回血	主角技能buff	160	1	1	0	5	11	2	1	0			0		100000	None()	1	0	0	0	0	1	0	1	14										1	
12	回蓝	主角技能buff	160	1	1	0	5	12	2	1	0			0		100000	None()	1	0	0	0	0	1	0	1	15										1	
13	近单-减血	主角技能 减血	160	0	1	1	3	13	1	1	0	0	0	0		100000	None()	1	0	0	0	0	3	0	1	17										1	
14	近群-加暴击值	主角技能 加暴击值	160	0	1	0	5	14	1	1	0	0	0	0		100000	None()	1	0	0	0	0	1	0	1	18										1	
15	远单-减血	主角技能 减血	160	0	1	1	3	13	1	1	0	0	0	0		100000	None()	1	0	0	0	0	3	0	1	17										1	
16	远群-加暴击值	主角技能 加暴击值	160	0	1	0	5	16	1	1	0	0	0	0		100000	None()	1	0	0	0	0	1	0	1	20										1	
17	远必-扣蓝	主角技能 扣蓝	160	0	1	1	2	17	1	1	0	0	0	0		100000	None()	1	0	0	0	0	3	0	1	21										1	
18	近必-扣蓝	主角技能 扣蓝	160	0	1	1	2	17	1	1	0	0	0	0		100000	None()	1	0	0	0	0	3	0	1	21										1	
25	大神必杀	大神技能buff	48	1	1	1	3	25	2	1	0	0	0	0		1	None()	1	0	0	0	0	3	5	15	10										1	
26	大神近群	大神技能buff	16	1	1	1	2	26	2	1	0	0	0	0		1	None()	1	0	0	0	0	3	5	15	1										1	
35	近控1	主角技能buff	32	0	1	1	2	35	2	1	0	0	0	1		1	None()	1	0	0	0	0	3	4	3	35										1	
36	近控2	主角技能buff	48	0	1	1	4	36	2	1	0	0	0	0		1	None()	1	0	0	0	0	3	0	1	11										1	
37	跳砸	主角技能buff	60	0	1	1	4	6	2	1	0	0	0	1		1	None()	1	0	0	0	0	3	3	3	37										1	
205	世界boss	世界boss	16	1	1	1	2	205	1	1	0	0	0	0		100000	None()	1	0	0	0	0	3	0	1	205										1	
206	世界boss 小怪近战普攻	世界boss	16	1	1	1	2	206	1	1	0	0		0		100000	None()	1	0	0	0	0	3	0	1	206										1	
207	大胖子 普通攻击	世界boss	16	1	1	1	2	207	1	1	0	0		0		100000	None()	1	0	0	0	0	3	0	1	207										1	
208	大胖子 群攻中转	世界boss	8	0	1	1	3	208	1	1	0	0	0	1		100000	None()	1	0	0	0	0	3	7	10						150	151				1	
209	大胖子 群攻伤害	世界boss	48	0	1	1	3	209	1	1	0	0	0	1		100000	None()	1	0	0	0	0	3	0	1	208										1	
220	魔兵	伐魔塔1层	32	1	1	1	2	220	1	1	0	0		0		100000	None()	1	0	0	0	0	3	0	1	3000										1	
221	白脸鬼	伐魔塔2层	32	1	1	1	2	221	1	1	0	0		0		100000	None()	1	0	0	0	0	3	0	1	3001										1	
222	黑脸鬼	伐魔塔3层	32	1	1	1	2	222	1	1	0	0		0		100000	None()	1	0	0	0	0	3	0	1	3002										1	
223	鱼怪	伐魔塔4层	32	1	1	1	2	223	1	1	0	0		0		100000	None()	1	0	0	0	0	3	0	1	3003										1	
224	怪盗小李	伐魔塔5层	32	1	1	1	2	224	1	1	0	0		0		100000	None()	1	0	0	0	0	3	0	1	3004										1	
225	河妖	伐魔塔6层	32	1	1	1	2	225	1	1	0	0		0		100000	None()	1	0	0	0	0	3	0	1	3005										1	
226	恶霸	伐魔塔7层	32	1	1	1	2	226	1	1	0	0		0		100000	None()	1	0	0	0	0	3	0	1	3006										1	
227	狂暴者	伐魔塔8层	32	1	1	1	2	227	1	1	0	0		0		100000	None()	1	0	0	0	0	3	0	1	3007										1	
229	强盗	伐魔塔9层	32	1	1	1	2	229	1	1	0	0		0		100000	None()	1	0	0	0	0	3	0	1	3009										1	
228	邪恶大土豪	伐魔塔10层	32	1	1	1	2	228	1	1	0	0		0		100000	None()	1	0	0	0	0	3	0	1	3008										1	
230	毒虫	伐魔塔11层	32	1	1	1	2	230	1	1	0	0		0		100000	None()	1	0	0	0	0	3	0	1	3010										1	
231	熊精	伐魔塔12层	32	1	1	1	2	231	1	1	0	0		0		100000	None()	1	0	0	0	0	3	0	1	3011										1	
232	年兽	伐魔塔13层	32	1	1	1	2	232	1	1	0	0		0		100000	None()	1	0	0	0	0	3	0	1	3012										1	
233	毒蜘蛛	伐魔塔14层	32	1	1	1	2	233	1	1	0	0		0		100000	None()	1	0	0	0	0	3	0	1	3013										1	
234	牛魔王	伐魔塔15层	32	1	1	1	2	234	1	1	0	0		0		100000	None()	1	0	0	0	0	3	0	1	3014										1	
235	蟾蜍	伐魔塔16层	32	1	1	1	2	235	1	1	0	0		0		100000	None()	1	0	0	0	0	3	0	1	3015										1	
236	怪盗小李	伐魔塔17层	32	1	1	1	2	236	1	1	0	0		0		100000	None()	1	0	0	0	0	3	0	1	3016										1	
237	牛兵	伐魔塔18层	32	1	1	1	2	237	1	1	0	0		0		100000	None()	1	0	0	0	0	3	0	1	3017										1	
238	哮天犬	伐魔塔19层	32	1	1	1	2	238	1	1	0	0		0		100000	None()	1	0	0	0	0	3	0	1	3018										1	
239	西域飞龙	伐魔塔20层	32	1	1	1	2	239	1	1	0	0		0		100000	None()	1	0	0	0	0	3	0	1	3019										1	
240	黑老鸦	伐魔塔21层	32	1	1	1	2	240	1	1	0	0		0		100000	None()	1	0	0	0	0	3	0	1	3020										1	
241	鸟人	伐魔塔22层	32	1	1	1	2	241	1	1	0	0		0		100000	None()	1	0	0	0	0	3	0	1	3021										1	
242	猕猴	伐魔塔23层	32	1	1	1	2	242	1	1	0	0		0		100000	None()	1	0	0	0	0	3	0	1	3022										1	
243	江湖人士	伐魔塔24层	32	1	1	1	2	243	1	1	0	0		0		100000	None()	1	0	0	0	0	3	0	1	3023										1	
244	<color=green>[精英]大巨人	伐魔塔25层	32	1	1	1	2	244	1	1	0	0		0		100000	None()	1	0	0	0	0	3	0	1	3024										1	
245	毒箭兵	伐魔塔26层	32	1	1	1	2	245	1	1	0	0		0		100000	None()	1	0	0	0	0	3	0	1	3025										1	
246	熔岩怪	伐魔塔27层	32	1	1	1	2	246	1	1	0	0		0		100000	None()	1	0	0	0	0	3	0	1	3026										1	
247	鬼魂	伐魔塔28层	32	1	1	1	2	247	1	1	0	0		0		100000	None()	1	0	0	0	0	3	0	1	3027										1	
248	食人花	伐魔塔29层	32	1	1	1	2	248	1	1	0	0		0		100000	None()	1	0	0	0	0	3	0	1	3028										1	
249	<color=green>[boss]右封印将军	伐魔塔30层	32	1	1	1	2	249	1	1	0	0		0		100000	None()	1	0	0	0	0	3	0	1	3029										1	
250	黑老鸦	伐魔塔31层	32	1	1	1	2	250	1	1	0	0		0		100000	None()	1	0	0	0	0	3	0	1	3029										1	
251	鸟人	伐魔塔32层	32	1	1	1	2	251	1	1	0	0		0		100000	None()	1	0	0	0	0	3	0	1	3029										1	
252	猕猴	伐魔塔33层	32	1	1	1	2	252	1	1	0	0		0		100000	None()	1	0	0	0	0	3	0	1	3029										1	
253	江湖人士	伐魔塔34层	32	1	1	1	2	253	1	1	0	0		0		100000	None()	1	0	0	0	0	3	0	1	3029										1	
254	<color=green>[精英]大巨人	伐魔塔35层	32	1	1	1	2	254	1	1	0	0		0		100000	None()	1	0	0	0	0	3	0	1	3029										1	
255	毒箭兵	伐魔塔36层	32	1	1	1	2	255	1	1	0	0		0		100000	None()	1	0	0	0	0	3	0	1	3029										1	
256	熔岩怪	伐魔塔37层	32	1	1	1	2	256	1	1	0	0		0		100000	None()	1	0	0	0	0	3	0	1	3029										1	
257	鬼魂	伐魔塔38层	32	1	1	1	2	257	1	1	0	0		0		100000	None()	1	0	0	0	0	3	0	1	3029										1	
258	食人花	伐魔塔39层	32	1	1	1	2	258	1	1	0	0		0		100000	None()	1	0	0	0	0	3	0	1	3029										1	
259	<color=green>[boss]右封印将军	伐魔塔40层	32	1	1	1	2	259	1	1	0	0		0		100000	None()	1	0	0	0	0	3	0	1	3029										1	
260	黑老鸦	伐魔塔41层	32	1	1	1	2	260	1	1	0	0		0		100000	None()	1	0	0	0	0	3	0	1	3029										1	
261	鸟人	伐魔塔42层	32	1	1	1	2	261	1	1	0	0		0		100000	None()	1	0	0	0	0	3	0	1	3029										1	
262	猕猴	伐魔塔43层	32	1	1	1	2	262	1	1	0	0		0		100000	None()	1	0	0	0	0	3	0	1	3029										1	
263	江湖人士	伐魔塔44层	32	1	1	1	2	263	1	1	0	0		0		100000	None()	1	0	0	0	0	3	0	1	3029										1	
264	<color=green>[精英]大巨人	伐魔塔45层	32	1	1	1	2	264	1	1	0	0		0		100000	None()	1	0	0	0	0	3	0	1	3029										1	
265	毒箭兵	伐魔塔46层	32	1	1	1	2	265	1	1	0	0		0		100000	None()	1	0	0	0	0	3	0	1	3029										1	
266	熔岩怪	伐魔塔47层	32	1	1	1	2	266	1	1	0	0		0		100000	None()	1	0	0	0	0	3	0	1	3029										1	
267	鬼魂	伐魔塔48层	32	1	1	1	2	267	1	1	0	0		0		100000	None()	1	0	0	0	0	3	0	1	3029										1	
268	食人花	伐魔塔49层	32	1	1	1	2	268	1	1	0	0		0		100000	None()	1	0	0	0	0	3	0	1	3029										1	
269	<color=green>[boss]右封印将军	伐魔塔50层	32	1	1	1	2	269	1	1	0	0		0		100000	None()	1	0	0	0	0	3	0	1	3029										1	
270	黑老鸦	伐魔塔51层	32	1	1	1	2	270	1	1	0	0		0		100000	None()	1	0	0	0	0	3	0	1	3029										1	
271	鸟人	伐魔塔52层	32	1	1	1	2	271	1	1	0	0		0		100000	None()	1	0	0	0	0	3	0	1	3029										1	
272	猕猴	伐魔塔53层	32	1	1	1	2	272	1	1	0	0		0		100000	None()	1	0	0	0	0	3	0	1	3029										1	
273	江湖人士	伐魔塔54层	32	1	1	1	2	273	1	1	0	0		0		100000	None()	1	0	0	0	0	3	0	1	3029										1	
274	<color=green>[精英]大巨人	伐魔塔55层	32	1	1	1	2	274	1	1	0	0		0		100000	None()	1	0	0	0	0	3	0	1	3029										1	
275	毒箭兵	伐魔塔56层	32	1	1	1	2	275	1	1	0	0		0		100000	None()	1	0	0	0	0	3	0	1	3029										1	
276	熔岩怪	伐魔塔57层	32	1	1	1	2	276	1	1	0	0		0		100000	None()	1	0	0	0	0	3	0	1	3029										1	
277	鬼魂	伐魔塔58层	32	1	1	1	2	277	1	1	0	0		0		100000	None()	1	0	0	0	0	3	0	1	3029										1	
278	食人花	伐魔塔59层	32	1	1	1	2	278	1	1	0	0		0		100000	None()	1	0	0	0	0	3	0	1	3029										1	
279	<color=green>[boss]右封印将军	伐魔塔60层	32	1	1	1	2	279	1	1	0	0		0		100000	None()	1	0	0	0	0	3	0	1	3029										1	
400	圆月狂刀 普通	世界boss	32	0	1	1	2	400	2	1	0	0		0		1	None()	1	0	0	0	0	3	0	1	2000										1	
401	圆月狂刀 加攻击buff1	世界boss	32	0	1	0	5	401	2	1	0	0		0		1	None()	1	0	0	0	0	1	0	1	2001										1	
416	圆月狂刀 加攻击buff2	世界boss	160	0	1	0	5	416	2	1	0	0		0		1	None()	1	0	0	0	0	1	0	1	2016										1	
402	圆月狂刀 一次性群攻1	世界boss	48	0	1	0	2	402	2	1	0	0		0		1	None()	1	0	0	0	0	3	0	1	2002										1	
403	圆月狂刀 一次性群攻2	世界boss	48	0	1	1	2	403	2	1	0	0		0		1	None()	1	0	0	0	0	3	10	100	2003										1	
404	鲁大深 普通	世界boss	32	0	1	1	2	404	2	1	0	0		0		1	None()	1	0	0	0	0	3	0	1	2004										1	
405	鲁大深 加防御buff1	世界boss	32	0	1	0	5	405	2	1	0	0		0		1	None()	1	0	0	0	0	1	0	1	2005										1	
417	鲁大深 加防御buff2	世界boss	160	0	1	0	5	417	2	1	0	0		0		1	None()	1	0	0	0	0	1	0	1	2017										1	
406	鲁大深 一次性群攻1	世界boss	48	0	1	0	2	406	2	1	0	0		0		1	None()	1	0	0	0	0	3	0	1	2006										1	
407	鲁大深 一次性群攻2	世界boss	48	0	1	1	2	407	2	1	0	0		0		1	None()	1	0	0	0	0	3	10	100	2007										1	
408	妖僧 普通	世界boss	32	0	1	1	2	408	2	1	0	0		0		1	None()	1	0	0	0	0	3	0	1	2008										1	
409	妖僧 加暴击buff1	世界boss	32	0	1	0	5	409	2	1	0	0		0		1	None()	1	0	0	0	0	1	0	1	2009										1	
418	妖僧 加暴击buff2	世界boss	160	0	1	0	5	418	2	1	0	0		0		1	None()	1	0	0	0	0	1	0	1	2018										1	
410	妖僧 持续群攻1	世界boss	48	0	1	0	2	410	2	1	0	0		0		1	None()	1	0	0	0	0	3	0	1	2010										1	
411	妖僧 持续群攻2	世界boss	48	0	1	1	2	411	2	1	0	0		0		1	None()	1	0	0	0	0	3	10	100	2011										1	
412	武痴 普通	世界boss	32	0	1	1	2	412	2	1	0	0		0		1	None()	1	0	0	0	0	3	0	1	2012										1	
413	武痴 加攻击buff1	世界boss	32	0	1	0	5	413	2	1	0	0		0		1	None()	1	0	0	0	0	1	0	1	2013										1	
419	武痴 加攻击buff2	世界boss	160	0	1	0	5	419	2	1	0	0		0		1	None()	1	0	0	0	0	1	0	1	2519										1	
414	武痴 持续群攻1	世界boss	48	0	1	0	2	414	2	1	0	0		0		1	None()	1	0	0	0	0	3	0	1	2014										1	
415	武痴 持续群攻2	世界boss	48	0	1	1	2	415	2	1	0	0		0		1	None()	1	0	0	0	0	3	10	100	2015										1	
450	一层boss 普攻	战宝堂	32	0	1	1	2	400	2	1	0	0		0		1	None()	1	0	0	0	0	3	0	1	2500										1	
451	一层boss 群攻1	战宝堂	32	0	1	1	2	400	2	1	0	0		0		1	None()	1	0	0	0	0	3	0	1	2501										1	
452	一层boss 群攻2	战宝堂	32	0	1	1	2	400	2	1	0	0		0		1	None()	1	0	0	0	0	3	0	1	2502										1	
453	二层boss 普攻	战宝堂	32	0	1	1	2	400	2	1	0	0		0		1	None()	1	0	0	0	0	3	0	1	2503										1	
454	二层boss 群攻1	战宝堂	32	0	1	1	2	400	2	1	0	0		0		1	None()	1	0	0	0	0	3	0	1	2504										1	
455	二层boss 群攻2	战宝堂	32	0	1	1	2	400	2	1	0	0		0		1	None()	1	0	0	0	0	3	0	1	2505										1	
456	三层boss 普攻	战宝堂	32	0	1	1	2	400	2	1	0	0		0		1	None()	1	0	0	0	0	3	0	1	2506										1	
457	三层boss 群攻1	战宝堂	32	0	1	1	2	400	2	1	0	0		0		1	None()	1	0	0	0	0	3	0	1	2507										1	
458	三层boss 群攻2	战宝堂	32	0	1	1	2	400	2	1	0	0		0		1	None()	1	0	0	0	0	3	0	1	2508										1	
459	护卫兵	战宝堂	16	1	1	1	2	206	2	1	0	0		0		1	None()	1	0	0	0	0	3	0	1	2509										1	
500	攻击丹加攻(+1)	道具buff	-1	1	1	0	5	500	1	1	0	0	0	0		100000	None()	1	1	0	0	0	1	0	1	310										1	
501	攻击丹加攻(+5)	道具buff	-1	1	1	0	5	501	1	1	0	0	0	0		100000	None()	1	1	0	0	0	1	0	1	311										1	
502	攻击丹加攻(+10)	道具buff	-1	1	1	0	5	502	1	1	0	0	0	0		100000	None()	1	1	0	0	0	1	0	1	312										1	
503	生命丹加生(+50)	道具buff	-1	1	1	0	5	503	1	1	0	0	0	0		100000	None()	1	1	0	0	0	1	0	1	313										1	
504	生命丹加生(+100)	道具buff	-1	1	1	0	5	504	1	1	0	0	0	0		100000	None()	1	1	0	0	0	1	0	1	314										1	
505	生命丹加生(+200)	道具buff	-1	1	1	0	5	505	1	1	0	0	0	0		100000	None()	1	1	0	0	0	1	0	1	315										1	
506	暴击丹加爆(+1)	道具buff	-1	1	1	0	5	506	1	1	0	0	0	0		100000	None()	1	1	0	0	0	1	0	1	316										1	
507	暴击丹加爆(+5)	道具buff	-1	1	1	0	5	507	1	1	0	0	0	0		100000	None()	1	1	0	0	0	1	0	1	317										1	
508	暴击丹加爆(+10)	道具buff	-1	1	1	0	5	508	1	1	0	0	0	0		100000	None()	1	1	0	0	0	1	0	1	318										1	
509	防御丹加防(+1)	道具buff	-1	1	1	0	5	509	1	1	0	0	0	0		100000	None()	1	1	0	0	0	1	0	1	319										1	
510	防御丹加防(+9)	道具buff	-1	1	1	0	5	510	1	1	0	0	0	0		100000	None()	1	1	0	0	0	1	0	1	320										1	
511	防御丹加防(+17)	道具buff	-1	1	1	0	5	511	1	1	0	0	0	0		100000	None()	1	1	0	0	0	1	0	1	321										1	
512	抗暴丹加抗(+1)	道具buff	-1	1	1	0	5	512	1	1	0	0	0	0		100000	None()	1	1	0	0	0	1	0	1	322										1	
513	抗暴丹加抗(+7)	道具buff	-1	1	1	0	5	513	1	1	0	0	0	0		100000	None()	1	1	0	0	0	1	0	1	323										1	
514	抗暴丹加抗(+13)	道具buff	-1	1	1	0	5	514	1	1	0	0	0	0		100000	None()	1	1	0	0	0	1	0	1	324										1	
515	闪避丹加闪(+1)	道具buff	-1	1	1	0	5	515	1	1	0	0	0	0		100000	None()	1	1	0	0	0	1	0	1	325										1	
516	闪避丹加闪(+5)	道具buff	-1	1	1	0	5	516	1	1	0	0	0	0		100000	None()	1	1	0	0	0	1	0	1	326										1	
517	闪避丹加闪(+12)	道具buff	-1	1	1	0	5	517	1	1	0	0	0	0		100000	None()	1	1	0	0	0	1	0	1	327										1	
518	命中丹加命(+1)	道具buff	-1	1	1	0	5	518	1	1	0	0	0	0		100000	None()	1	1	0	0	0	1	0	1	328										1	
519	命中丹加命(+5)	道具buff	-1	1	1	0	5	519	1	1	0	0	0	0		100000	None()	1	1	0	0	0	1	0	1	329										1	
520	命中丹加命(+10)	道具buff	-1	1	1	0	5	520	1	1	0	0	0	0		100000	None()	1	1	0	0	0	1	0	1	330										1	
700	升级	任务流程buff	160	0	1	0	5	700	2	1	0	0		0		10	None()	1	0	0	0	0		0	1											1	
701	完成任务	任务流程buff	32	0	1	0	5	701	2	1	0	0		0		10	None()	1	0	0	0	0		0	1											1	
702	主线任务	任务流程buff	-1	0	1	0	5	702	2	1	0	0		0		10	None()	1	0	0	0	0		0	1											1	
703	日常任务	任务流程buff	-1	0	1	0	5	703	2	1	0	0		0		10	None()	1	0	0	0	0		0	1											1	
704	支线任务	任务流程buff	-1	0	1	0	5	704	2	1	0	0		0		10	None()	1	0	0	0	0		0	1											1	
705	主线完成	任务流程buff	-1	0	1	0	5	705	2	1	0	0		0		10	None()	1	0	0	0	0		0	1											1	
706	日常完成	任务流程buff	-1	0	1	0	5	706	2	1	0	0		0		10	None()	1	0	0	0	0		0	1											1	
707	支线完成	任务流程buff	-1	0	1	0	5	707	2	1	0	0		0		10	None()	1	0	0	0	0		0	1											1	
708	任务未完成	任务流程buff	-1	0	1	0	5	708	2	1	0	0		0		10	None()	1	0	0	0	0		0	1											1	
710	称号加血1	称号系统	-1	0	1	0	1	710	1	1	0	0	0	0		10000	None()	1	0	0	0	0	1	0	1	220										1	
711	称号加血2	称号系统	-1	0	1	0	1	711	1	1	0	0	0	0		10000	None()	1	0	0	0	0	1	0	1	221										1	
712	称号加血3	称号系统	-1	0	1	0	1	712	1	1	0	0	0	0		10000	None()	1	0	0	0	0	1	0	1	222										1	
713	称号加血4	称号系统	-1	0	1	0	1	713	1	1	0	0	0	0		10000	None()	1	0	0	0	0	1	0	1	223										1	
714	称号加血5	称号系统	-1	0	1	0	1	714	1	1	0	0	0	0		10000	None()	1	0	0	0	0	1	0	1	224										1	
715	称号加血6	称号系统	-1	0	1	0	1	715	1	1	0	0	0	0		10000	None()	1	0	0	0	0	1	0	1	225										1	
716	称号加血7	称号系统	-1	0	1	0	1	716	1	1	0	0	0	0		10000	None()	1	0	0	0	0	1	0	1	226										1	
717	称号加血8	称号系统	-1	0	1	0	1	717	1	1	0	0	0	0		10000	None()	1	0	0	0	0	1	0	1	227										1	
718	称号加血9	称号系统	-1	0	1	0	1	718	1	1	0	0	0	0		10000	None()	1	0	0	0	0	1	0	1	228										1	
719	称号加血10	称号系统	-1	0	1	0	1	719	1	1	0	0	0	0		10000	None()	1	0	0	0	0	1	0	1	229										1	
720	称号加攻击1	称号系统	-1	0	1	0	1	720	1	1	0	0	0	0		10000	None()	1	0	0	0	0	1	0	1	230										1	
721	称号加攻击2	称号系统	-1	0	1	0	1	721	1	1	0	0	0	0		10000	None()	1	0	0	0	0	1	0	1	231										1	
722	称号加攻击3	称号系统	-1	0	1	0	1	722	1	1	0	0	0	0		10000	None()	1	0	0	0	0	1	0	1	232										1	
723	称号加攻击4	称号系统	-1	0	1	0	1	723	1	1	0	0	0	0		10000	None()	1	0	0	0	0	1	0	1	233										1	
724	称号加暴击1	称号系统	-1	0	1	0	1	724	1	1	0	0	0	0		10000	None()	1	0	0	0	0	1	0	1	234										1	
725	称号加暴击2	称号系统	-1	0	1	0	1	725	1	1	0	0	0	0		10000	None()	1	0	0	0	0	1	0	1	235										1	
726	称号加暴击3	称号系统	-1	0	1	0	1	726	1	1	0	0	0	0		10000	None()	1	0	0	0	0	1	0	1	236										1	
727	称号加暴击4	称号系统	-1	0	1	0	1	727	1	1	0	0	0	0		10000	None()	1	0	0	0	0	1	0	1	237										1	
728	称号加防御1	称号系统	-1	0	1	0	1	728	1	1	0	0	0	0		10000	None()	1	0	0	0	0	1	0	1	238										1	
729	称号加防御2	称号系统	-1	0	1	0	1	729	1	1	0	0	0	0		10000	None()	1	0	0	0	0	1	0	1	239										1	
730	称号加防御3	称号系统	-1	0	1	0	1	730	1	1	0	0	0	0		10000	None()	1	0	0	0	0	1	0	1	240										1	
731	称号加防御4	称号系统	-1	0	1	0	1	731	1	1	0	0	0	0		10000	None()	1	0	0	0	0	1	0	1	241										1	
732	称号加抗暴1	称号系统	-1	0	1	0	1	732	1	1	0	0	0	0		10000	None()	1	0	0	0	0	1	0	1	242										1	
733	称号加抗暴2	称号系统	-1	0	1	0	1	733	1	1	0	0	0	0		10000	None()	1	0	0	0	0	1	0	1	243										1	
734	称号加抗暴3	称号系统	-1	0	1	0	1	734	1	1	0	0	0	0		10000	None()	1	0	0	0	0	1	0	1	244										1	
735	称号加抗暴4	称号系统	-1	0	1	0	1	735	1	1	0	0	0	0		10000	None()	1	0	0	0	0	1	0	1	245										1	
736	称号加闪避1	称号系统	-1	0	1	0	1	736	1	1	0	0	0	0		10000	None()	1	0	0	0	0	1	0	1	246										1	
737	称号加闪避2	称号系统	-1	0	1	0	1	737	1	1	0	0	0	0		10000	None()	1	0	0	0	0	1	0	1	247										1	
738	称号加闪避3	称号系统	-1	0	1	0	1	738	1	1	0	0	0	0		10000	None()	1	0	0	0	0	1	0	1	248										1	
739	称号加闪避4	称号系统	-1	0	1	0	1	739	1	1	0	0	0	0		10000	None()	1	0	0	0	0	1	0	1	249										1	
740	称号加命中1	称号系统	-1	0	1	0	1	740	1	1	0	0	0	0		10000	None()	1	0	0	0	0	1	0	1	250										1	
741	称号加命中2	称号系统	-1	0	1	0	1	741	1	1	0	0	0	0		10000	None()	1	0	0	0	0	1	0	1	251										1	
742	称号加命中3	称号系统	-1	0	1	0	1	742	1	1	0	0	0	0		10000	None()	1	0	0	0	0	1	0	1	252										1	
900	近战普攻（伤害加1）	任务副本buff	16	1	1	1	2	900	1	1	0	0		0		10000	None()	1	0	0	0	0	3	0	1	300										1	
901	近战普攻（伤害加50）	任务副本buff	16	1	1	1	2	901	1	1	0	0		0		10001	None()	1	0	0	0	0	3	0	1	301										1	
902	近战普攻（伤害加150）	任务副本buff	16	1	1	1	2	902	1	1	0	0		0		10002	None()	1	0	0	0	0	3	0	1	302										1	
903	近战普攻（伤害加400）	任务副本buff	16	1	1	1	2	903	1	1	0	0		0		10003	None()	1	0	0	0	0	3	0	1											1	
950	空虚公子大招1	任务副本buff	4	1	1	1	2	950	2	1	0	0	0	0		10000	None()	1	0	0	0	0	3	15	3	350										1	
951	空虚公子大招2	任务副本buff	48	0	1	1	2	951	2	1	0	0	0	0		10000	None()	1	0	0	0	0	3	0	1	351										1	
952	空虚公子大招3	任务副本buff	16	1	1	1	2	952	2	1	0	0	0	0		10000	None()	1	0	0	0	0	3	0	1	352										1	
953	空虚公子大招4	任务副本buff	32	1	1	1	2	953	2	1	0	0	0	1		10000	None()	1	0	0	0	0	3	4	3	353										1	
