ID	SkillType	SkillName	SkillId1	SkillId2	SkillId3	SkillId4	SkillId5	SkillCD	BuffId1	BuffId2	BuffId3	BuffId4	BuffId5	ToSelf
44	1	跟随神仙-回复生命3 （九天玄女）	2310	2310	2310	2310	2310	480	8061	8061	8061	8061	8061	1
45	1	跟随神仙-回复生命4 （王母娘娘）	2315	2315	2315	2315	2315	480	8063	8063	8063	8063	8063	1
46	1	跟随神仙-回复生命5 （南海观音）	2320	2320	2320	2320	2320	480	8065	8065	8065	8065	8065	1
47	1	跟随神仙-回复生命6 （女娲）	2325	2325	2325	2325	2325	480	8067	8067	8067	8067	8067	1
48	2	跟随神仙-持续掉血1 （日月星君）	2400	2400	2400	2400	2400	480	8033	8033	8033	8033	8033	0
49	2	跟随神仙-持续掉血2 （雷震子）	2405	2405	2405	2405	2405	480	8035	8035	8035	8035	8035	0
50	2	跟随神仙-持续掉血3 （猪八戒）	2410	2410	2410	2410	2410	480	8037	8037	8037	8037	8037	0
51	2	跟随神仙-持续掉血4 （阎罗王）	2415	2415	2415	2415	2415	480	8039	8039	8039	8039	8039	0
52	2	跟随神仙-持续掉血5 （太上老君）	2420	2420	2420	2420	2420	480	8041	8041	8041	8041	8041	0
53	2	跟随神仙-持续掉血6 （伏羲）	2425	2425	2425	2425	2425	480	8043	8043	8043	8043	8043	0
