QID	SHOWFLAG	QUESTION	ANSWER	SELECT1	SELECT2	SELECT3
58	1	《剑侠世界》登陆时虚拟键盘变换顺序的骰子哪一面朝上的？	3个点的面	2个点的面	4个点的面	
59	1	从右上流入江津村的江水分为几股？	3	2	4	
60	1	目前《剑侠世界》中永乐镇属于哪个国家管辖范围内？	金	西夏	南宋	
61	1	石鼓镇白秋琳身后是何物？	观音塑像	石碑	一棵大树	
62	1	叶芷琳提供什么功能服务？	师徒和密友相关	活动奖品领取	新人指导员	
63	1	石鼓镇酒楼老板旁边的一对男女在干什么？	歌舞表演	好像在谈情说爱	舂米	
64	1	伐木和猎户老板身边经常有的动物是？	狗	羊	鸡	
65	1	伐木小屋老板手拿何物？	斧头	锯子	什么也没拿	
66	1	55级武林高手万老颠是属于五行何系？	火系	金系	木系	
67	1	江湖侠客进白虎堂干什么？	除贼	比武	刺杀堂主	
68	1	80级以上玩家完成第一轮包万同任务可得江湖威望多少点？	0	3	2	
69	1	每天最多可离线托管多久？	16小时	14小时	18小时	
70	1	石鼓镇去茶马古道入口有个动物是什么？	白猪	孔雀	黑狗	
71	1	石鼓镇的池塘在哪个方位？	东	南	西	
72	1	《剑侠世界》里的普通乞丐（不是丐帮弟子）为什么拿根棍子？	腿断了	打狗的武器	好玩	
73	1	龙门镇广场中心是何建筑物？	一口井	雕像	石塔	
74	1	下列哪个村子有瀑布？	永乐镇	云中镇	江津村	
75	1	永乐镇牌坊处茶铺的人在干啥？	打快板	喝茶	煮茶	
76	1	《剑侠世界》里卖的糖葫芦一串有几颗？	大约6颗	大约10颗	大约14颗	
77	1	武当山里的阿步在什么位置？	仓库旁边	池塘旁边	山门旁边	
78	1	唐晓和尹筱雨什么关系？	双胞胎	恋人	朋友	
79	1	唐门里的npc一般喜欢拿什么在手上？	扇子	笛子	铁爪	
80	1	游青素是什么样子的？	女子	男子	老人	
81	1	下列在哪个门派行乞的乞丐最可怜？	昆仑	天王	武当	
82	1	让鼠标指向目标不点左键就锁定的快捷键是？	Ctrl+L	Ctrl+K	无此功能	
83	1	游乐天是何门何派的？	昆仑	唐门	天王	
84	1	下列哪个门派的火把最多？	天忍	峨眉	五毒	
85	1	窦昊是何许人？	长歌门门主	西夏一品堂堂主	萨满教教主	
86	1	下列哪个门派池塘最多？	翠烟	峨眉	天王	
87	1	大理段氏的当家人怎么称呼？	家主	门主	教主	
88	1	五毒教的“五毒”不含下列哪种毒物？	壁虎	蝎子	蛤蟆	
89	1	少林玄苦大师旁边有几个和尚在打拳？	6	8	5	
90	1	萨满教正门上装饰物是什么？	牛头	羊头	龙头	
91	1	多少级才可以做商会任务？	50	55	60	
92	1	多少江湖威望才可以做商会任务？	20	25	30	
93	1	擂台比武共有多少种类型？	6	5	7	
94	1	一场擂台比武最多能有多少人参加？	12	10	14	
95	1	从昆仑派出来第一个到达的野外地图的地名是？	见性峰	天柱峰	祁连山	
96	1	汴京耶律楚材在何处？	皇宫门口	寺庙内	衙门外	
97	1	非绑定玄晶能合成为绑定玄晶吗?	能	不能	玄晶不能合成	
98	1	家族关卡接引人叫什么名字？	马穿山	马传善	马川山	
99	1	钱庄老板不能提供什么服务？	充值服务	兑换魂石	购买披风	
100	1	你从汴京如何去石鼓镇？	我还是飞过去吧	车夫送我过去啊	不想走路就坐车了	
101	1	街道上卖的伞有哪些颜色？	绿色和粉红色	绿色和黄色	黄色和粉红色	
102	1	哪个城市的背景音乐中有呼呼风声？	凤翔	汴京	临安	
103	1	哪个城市的背景音乐中开始有几声锣响？	临安	扬州	大理	
104	1	信相寺在哪个城市？	成都	襄阳	扬州	
105	1	义军声望钦佩是几级？	6	4	5	
106	1	你的队友开了“北冥神功”光环你能化解多少伤害？	90	180	150	
107	1	诗曰：“花团锦簇锦官城”，其中“锦官城”是指？	成都	扬州	临安	
108	1	“江湖威望”会减少吗？	每天都会衰减	每天都会增加	不会	
109	1	大理府城中间有个载歌载舞的npc叫什么名字？	大壮	大雄	大飞	
110	1	武林盟主特使不提供哪项服务？	更改玩家阵营	创建帮会	领取家族令牌	
111	1	3个相同玄晶合成高一级玄晶的概率是多少？	76%	74%	75%	
112	1	杂货铺的回城符多少钱一张？	300两	500两	400两	
113	1	蜀岗山的练级怪不包括下列哪种？	宋军刀兵	宋军枪手	宋轻骑兵	
114	1	在《剑侠世界》中经常能看见一个卖包子的白衣白帽的人，他一般在干嘛？	拉面	洗澡	做包子馅儿	
115	1	临安府的皇宫在城市的哪个方向？	西边	北边	南边	
116	1	包万同给予玩家任务的目的是什么？	为义军筹集物资	帮助玩家提升武学	做买卖赚钱	
117	1	哪种类型的地图不与城市直接相连？	105级	55级	75级	
118	1	唐门的小荷与小欣是什么关系？	主人与宠物	姐弟	小铁的两只宠物狗	
119	1	《剑侠世界》中有一只会武功的小羊叫什么名字？	小欣	小节	小荷	
120	1	对于人名“韩侂胄”中的“侂”的音读着什么？	tuo	tao	di	
121	1	岳飞《满江红》中“三十功名尘与土，八千里路云和月。”的下一句是什么？	莫等闲白了少年头，空悲切。	驾长车踏破贺兰山缺。	待从头收拾旧山河，朝天阙。	
122	1	魔忍“推山填海”技能说明显示最多同时影响3个目标，由该技能效果知道它实际影响多少个目标？	18	15	12	
123	1	武器损坏了还能使用技能吗？	有的能	不能	能	
124	1	《剑侠世界》角色头像在哪里更改？	F1主角界面的头像处点选	根本不能更改	在创建人物时选择	
125	1	野外怪物中的首领怪脚下光环是什么颜色？	紫色	蓝色	黄色	
126	1	有一物可作为《剑侠世界》故事的线索，此物事是？	游龙珏	山河社稷图	传国玉玺	
127	1	翠烟门为何招收男弟子？	势力衰微为了迅速壮大	为了给门中女子选拔优秀夫君	上届门主的遗愿	
128	1	目前水系共有几个流派？	6	3	4	
129	1	每天获得的各种声望有上限吗？	部分声望有上限	没有	有	
130	1	目前《剑侠世界》任务面板（F4）的任务类型共有几种？	5	4	6	
131	1	战斗模式切换的快捷键是？	Ctrl+H	Ctrl+K	Ctrl+L	
132	1	30级已入门派的角色可以进入门派竞技地图吗？	可以	不可以		
133	1	猜花灯时玩家最多可以得到多少次队友共享的奖励？	30	40	35	
134	1	在《剑侠世界》中新建立的角色力量初始属性值是多少？	50	35	依据五行不同有区别	
135	1	在《剑侠世界》中角色升级获得的属性点为多少？	10	8	5	
136	1	加一点外功增加的生命值上限是多少？	依据五行不同有区别	3	5	
137	1	在打boss时吃了幸运药可能使掉落的几率加大吗？	不能	当然可以了	幸运达到一定值才有效	
138	1	下面哪一项不可能会使会心概率提高？	潜能点	技能	装备	
139	1	角色升级后抗性会怎样变化？	有升有降	升高	降低	
140	1	对于属性“命中敌人吸取内力x%”的正确解释是？	增加伤害值的x%的内力值	增加被伤害方最大内力的x%的内力值	增加自身最大内力的x%的内力值	
141	1	在玄晶剥离时最多可以获得几种玄晶？	4	3	5	
142	1	在什么情况下剥离出来的玄晶是非绑定的？	不可能得到非绑定玄晶	剥离非绑定装备就可获得	使用非绑定银两剥离就可获得	
143	1	以下哪种方式可能获得"金犀"？	做任务	挑战武林高手	参加白虎堂	
144	1	中负面状态“缓”后，移动速度变为原来的多少？	50%	60%	40%	
145	1	新建角色的潜能点总值是多少？	200	160	0	
146	1	玩家pk死亡经验掉至多少将不再掉经验？	-50%	-100%	-70%	
147	1	在帮会里，成员“举手”的标志是什么？	名字颜色变为蓝色	名字前有个举手的小图标	名字前面用括号注明“举手”	
148	1	目前，在《剑侠世界》里，少林派在哪个国家的疆域范围内？	金	南宋	辽	
149	1	木超家里养了几条狗？	10条	1条	没养狗	
150	1	切换界面模式（隐藏快捷栏，地图，角色头像等）的快捷键是？	Ctrl+Tab	Shift+Tab	Ctrl+ALT	
151	1	拆分物品的快捷键是？	Ctrl+S	Shift+S	Alt+S	
152	1	一件属性是“装备绑定”的装备，你并没有装备它也可能被绑定吗？	可能	不可能	游戏出现bug就可能	
153	1	《剑侠世界》里玩家可使用的武器有几种？	8	6	7	
154	1	战场军需最多可以累积多少次？	14	21	18	
155	1	秘籍等级比角色高多少级以后将不能获得修为？	5	4	3	
156	1	技能“轻功”从何处得来？	师门初级秘籍得来	公共技能一开始就有	20级时自动学会	
157	1	下列选项是领取“官府通缉任务”的限制条件的是？	完成50级主线任务	等级到达55级	江湖威望达到30	
158	1	在“刑部捕头”处换取一本武林秘籍或洗髓经需要“名捕令”多少？	300	400	350	
159	1	“官府通缉任务”每天能获得几次？最多可以累积多少次？	6，36	7，42	5，30	
160	1	“装备拆解”属于生活技能的哪个系别？	加工系	制造系	独立的一个技能	
161	1	宋金战场每天有多少场？	8	6	9	
162	1	下面对于挑战武林高手获得奖励的队伍的说法正确的是？	对其造成伤害最多的队伍	造成第一击的队伍	完成最后一击的队伍	
163	1	白虎堂每天开启多少场？	20	10	16	
164	1	下面哪一个等级的白名玩家不能进入门派竞技场？	全部不能	70	35	50
165	1	“官府通缉任务”不能获得的奖励是？	金钱	经验	名捕令	
166	1	“洗髓经”的用途是什么？	增加潜能点	洗潜能点	洗技能点	
167	1	明教属于三大阵营的哪个阵营？	中立	正派	邪派	
168	1	生活技能共有多少个？	11	10	2	
169	1	在哪里可以购买九转续命丸?	奇珍阁	药店	杂货店	
170	1	下面关于原地疗伤的说法，哪个是错误的?	使用食品可以原地疗伤	接受队友的治疗可以原地疗伤	使用九转续命丸可以原地疗伤	
171	1	怎样可以设定重伤回城复活点?	点击新手村/门派/城市的物品保管人，设置自己的疗伤点	车夫传送自动设置自己的疗伤点	不用设置，自动设定为本门派的物品保管人	
172	1	下面关于屠杀的说法，哪个是错误的?	屠杀模式下可以攻击同一家族或者帮会的玩家	在没有建立切磋和仇杀关系时，练功模式玩家可以主动攻击屠杀模式玩家。	PK模式为屠杀时，玩家也不可以攻击白名阵营玩家。	
173	1	通过哪个NPC可以自首坐牢?	临安和汴京的衙役	各个新手村的礼官	本门掌门	
174	1	通过哪个NPC可以诵读慈悲心经降低恶名值?	云游僧人	衙役	本门掌门	
175	1	在哪里可以购买慈悲心经	奇珍阁	药店	杂货店	
176	1	当前正在坐牢的玩家，可以使用什么道具离开大牢?	刑部令牌	慈悲心经	朝廷诏书	
177	1	擂台允许的报名双方人数是多少？	1V1——6V6的对战	1V1——8V8的对战	1V1——10V10的对战	
178	1	60-89级玩家可以参加哪个战场?	扬州战场	凤翔战场	襄阳战场	
179	1	90-119级玩家可以参加哪个战场?	凤翔战场	扬州战场	襄阳战场	
180	1	120级和120级以上的玩家可以参加哪个战场?	襄阳战场	凤翔战场	扬州战场	
181	1	双方至少各有多少人才能开启扬州战场?	6人	8人	12人	
182	1	双方至少各有多少人才能开启凤翔战场?	8人	6人	12人	
183	1	双方至少各有多少人才能开启襄阳战场?	12人	6人	8人	
184	1	宋金战场的杀戮模式，根据什么判定胜负?	双方各自的总积分	双方各自的杀人数	双方各自的护旗成功数量	
185	1	宋金战场的护旗模式，根据什么判定胜负?	双方各自的护旗成功数量	双方各自的总积分	双方各自的杀人数	
186	1	宋金战场的护旗模式，当双方护旗数量相同时，根据什么判定胜负?	双方各自的总积分	双方各自的杀人数	双方各自的剩余人数	
187	1	宋金战场的元帅护卫模式中，下列说法不正确的是?	本方人数少于50大将出现	本方所有NPC大将全部被斩杀，元帅出现	战斗结束前20分钟，元帅出现	
188	1	逍遥谷里的夏小倩的头衔是什么？	柔弱的少女	贪玩的小女孩	爱冒险的大小姐	
189	1	宋金战场中，按什么键可以查看战报?	~键	Tab键	Shift键	
190	1	在哪个NPC处可以用战场积分换取经验奖励?	战场报名点的军需官	宋金招募使	衙役	
191	1	战场声望是按照什么标准奖励的?	根据每场战局的最终排名奖励玩家	根据参加宋金战场的次数奖励玩家	根据在线时间奖励玩家	
192	1	战场积分有什么用?	可以换取经验奖励	可以换取战场声望	可以换取剑侠币	
193	1	战场声望可以累积么?	可以	不可以	一周内可以累积	
194	1	战场声望分为几种?	3种	4种	5种	
195	1	多少级的玩家可以收徒弟?	不低于69级	不低于60级	不低于70级	
196	1	每人同时最多可以拥有多少未出师的徒弟？	3个	5个	8个	
197	1	每人可以同时拜多少个玩家为师父？	1个	2个	3个	
198	1	多少级才可以拜师？	大于20级且小于50级	大于20级且小于69级	没有限制	
199	1	出师的条件是什么？	弟子等级达到69级且于师傅亲密度超过3级	弟子等级达到60级且于师傅亲密度超过3级	弟子等级达到60级且于师傅亲密度超过4级	
200	1	多少级的玩家可以体验白虎堂活动?	50级以上	70级以上	100级以上	
201	1	每人每天最多可以参加多少次白虎堂活动?	3次	1次	2次	
202	1	猜灯谜活动的花灯会出现在哪些地图?	8个新手村	7个城市	各个门派	
203	1	猜灯谜活动在哪个NPC处领取奖励?	礼官	白秋琳	颜如玉	
204	1	金币交易的手续费由谁支付?	卖方	买方	系统	
205	1	金币交易的手续费是多少?	交易总额的1%	100剑侠币	交易总额的10%	
206	1	每人在金币交易所最多同时创建多少交易单?	1个	2个	3个	
207	1	每人每周可以交易获得的免税剑侠币是多少?	与汇率相关	100万两	1000万两	
208	1	夏小倩养了几只兔子？	6只	3只	9只	
209	1	逍遥谷里有个擅长制造机关兽的人，请问他叫什么名字？	胡坤	胡昆	胡琨	
210	1	以下哪句不是夏小倩的口头禅？	其实你长得也不咋地。	你们惹火我了！	我给大家唱首歌吧。	
211	1	以下哪件不是黄翡要的宝物	仙灵木	七彩仙丹	灵兽战靴	遁甲灵符
212	1	以下哪句是墨君的口头禅？	老实说，你内力也不怎么深厚嘛。	能躲得掉的话就躲躲看吧！哇哈哈哈……	有时候,也会回味一下洗点前的生活	
213	1	筱璐的老公叫什么名字？	任淼	任森	任鑫	任焱
214	1	逍遥谷里哪两种头衔的怪的技能效果一样？	“狂怒加持”和“毒液喷吐”	“剔骨断筋”和“弹性机璜”	“金刚不坏”和“金钟附体”	
215	1	紫苑和胡坤的关系是？	师徒	夫妻	师兄妹	
216	1	秦仲和紫苑的关系是？	师兄妹	夫妻	师徒	
217	1	祈福祈出五个“木”获得的称号是？	天下无双	独孤求败	鸿运当头	
218	1	祈福祈出五个“金”获得的称号是？	独孤求败	红尘任逍遥	洪福齐天	
219	1	以下哪个不是祈福祈出四个“金”获得的称号？	天下谁人不识君	天涯未还斜阳残	举杯望月强为笑	
220	1	从谁身上可以获得犀角矿令牌？	监工	苦工	监工头领	
221	1	以下哪个不是柳阔的头衔？	冶炼大师	加工大师	制造大师	药商
222	1	黄翡为什么进不了逍遥谷？	人不够	受伤了	不会武功	
223	1	黄翡手里拿的是何物？	扇子	剑	刀	枪
224	1	猜一猜赵侃多大了？	70岁	30岁	10岁	
225	1	逍遥谷里有位爱冒险的大小姐，她叫什么名字？	晓菲	筱璐	翠小鸥	
226	1	以下哪个不是祈福祈出五个“水”获得的称号？	所谓伊人，在水一方	绝代芳华	风一样的男子	
227	1	以下哪个是祈福祈出五个“火”获得的称号？	江湖最后一位侠客	酒断肠他乡路醒	不羡鸳鸯不羡仙	
228	1	以下哪个是祈福祈出五个“土”获得的称号？	天之娇女	江湖最后一位侠女	绝代芳华	
229	1	汴京府包万同身后的石碑上写的是什么？	国泰民安	风调雨顺	还我河山	
230	1	云中镇的叶芷琳在什么位置？	河边	竹林	院子里	
231	1	龙泉村的张松涛院子里哪种动物皮最多？	虎皮	熊皮	狼皮	
232	1	大金龙脉风水图在谁身上？	完颜亮	完颜襄	完颜鸿烈	
233	1	海陵王墓中的荆棘密林如果不小心碰到会出现什么效果？	回到营地	眩晕	无效果	
234	1	海陵王墓中的黄金宝箱最高可以开出几级玄晶？	9级	8级	7级	6级
235	1	海陵王墓中完颜不破的称号是什么？	金国第一刀客	金国第一剑客	金国第一刺客	
236	1	百蛮山为什么要敲锣打鼓？	引怪	欢庆节日	无聊	
237	1	蛊王不会易容成谁？	杨铁心	白秋琳	段智兴	
238	1	百蛮山隐藏关卡首领是谁？	火蓬春	二丫	宝果子	
239	1	伏牛山军营的剧情任务不会奖励？	玄晶宝石	江湖威望	魂石	
240	1	伏牛山军营的报名时间为？	整点报名	半点报名	随时可以进入	
241	1	下列那个方式可以提升伏牛山军营声望？	军营补给包	作日常任务	读机关书	
242	1	伏牛山军营声望最高等级为？	7级	6级	8级	
243	1	伏牛山军营达到最高等级后可以购买？	24格背包	28格背包	22格背包	
244	1	机关耐久度不能兑换到那个物品？	玄晶宝石	熟牛肉	各种面具	
245	1	如何进入伏牛山军营？	新手村军营传送官或传送符	跑步进入	找门派接引弟子传送	
246	1	卢必克和毕再遇是什么关系？	战友	亲戚	同乡	
247	1	伏牛山军营副本的报名时间为？	整点过后的10分钟内	整点过后的15分钟内	整点过后的5分钟内	
248	1	军营中负责发放军饷的是哪位？	徐祥鹅	包万同	卢必克	
249	1	在哪位角色身上可以领取海陵王墓剧情任务？	辰箫	卢必克	龙五太爷	
250	1	一场军营副本规定的时间为？	90分钟	100分钟	80分钟	
