Name	Desc	Genre	DetailType	ParticularType	Level	StoneColor	CoinType	CurrencyType	Price	Stack	ItemValue	BindType	StoneType	Quality	CanTrade	CanDestroy	ReqLevel	EquipLevel	ReqCon	PeqStr	ReqAgi	PeqInt	ReqSpr	ClassName	ForbidType	MagicName1	Magic1Param	MagicName2	Magic2Param	MagicName3	Magic3Param
四级防御宝石		18	2	3	4	1	2	2	2700	999	1	1	2	3	1	1	1	1	1	1	1	1	1			adddef_v	80				
五级防御宝石		18	2	3	5	1	2	2	8100	999	1	1	2	4	1	1	1	1	1	1	1	1	1			adddef_v	160				
六级防御宝石		18	2	3	6	1	2	2	24300	999	1	1	2	4	1	1	1	1	1	1	1	1	1			adddef_v	400				
七级防御宝石		18	2	3	7	1	2	2	72900	999	1	1	2	5	1	1	1	1	1	1	1	1	1			adddef_v	700				
一级暴击宝石		18	2	4	1	1	2	2	100	999	1	1	1	2	1	1	1	1	1	1	1	1	1			addcriticalrate_v	10				
二级暴击宝石		18	2	4	2	1	2	2	300	999	1	1	1	2	1	1	1	1	1	1	1	1	1			addcriticalrate_v	20				
三级暴击宝石		18	2	4	3	1	2	2	900	999	1	1	1	3	1	1	1	1	1	1	1	1	1			addcriticalrate_v	40				
四级暴击宝石		18	2	4	4	1	2	2	2700	999	1	1	1	3	1	1	1	1	1	1	1	1	1			addcriticalrate_v	80				
五级暴击宝石		18	2	4	5	1	2	2	8100	999	1	1	1	4	1	1	1	1	1	1	1	1	1			addcriticalrate_v	160				
六级暴击宝石		18	2	4	6	1	2	2	24300	999	1	1	1	4	1	1	1	1	1	1	1	1	1			addcriticalrate_v	400				
七级暴击宝石		18	2	4	7	1	2	2	72900	999	1	1	1	5	1	1	1	1	1	1	1	1	1			addcriticalrate_v	700				
一级抗暴宝石		18	2	5	1	1	2	2	100	999	1	1	2	2	1	1	1	1	1	1	1	1	1			addresist_v	10				
二级抗暴宝石		18	2	5	2	1	2	2	300	999	1	1	2	2	1	1	1	1	1	1	1	1	1			addresist_v	20				
三级抗暴宝石		18	2	5	3	1	2	2	900	999	1	1	2	3	1	1	1	1	1	1	1	1	1			addresist_v	40				
四级抗暴宝石		18	2	5	4	1	2	2	2700	999	1	1	2	3	1	1	1	1	1	1	1	1	1			addresist_v	80				
五级抗暴宝石		18	2	5	5	1	2	2	8100	999	1	1	2	4	1	1	1	1	1	1	1	1	1			addresist_v	160				
六级抗暴宝石		18	2	5	6	1	2	2	24300	999	1	1	2	4	1	1	1	1	1	1	1	1	1			addresist_v	400				
七级抗暴宝石		18	2	5	7	1	2	2	72900	999	1	1	2	5	1	1	1	1	1	1	1	1	1			addresist_v	700				
一级命中宝石		18	2	6	1	1	2	2	100	999	1	1	1	2	1	1	1	1	1	1	1	1	1			addhitrate_v	10				
二级命中宝石		18	2	6	2	1	2	2	300	999	1	1	1	2	1	1	1	1	1	1	1	1	1			addhitrate_v	20				
三级命中宝石		18	2	6	3	1	2	2	900	999	1	1	1	3	1	1	1	1	1	1	1	1	1			addhitrate_v	40				
四级命中宝石		18	2	6	4	1	2	2	2700	999	1	1	1	3	1	1	1	1	1	1	1	1	1			addhitrate_v	80				
五级命中宝石		18	2	6	5	1	2	2	8100	999	1	1	1	4	1	1	1	1	1	1	1	1	1			addhitrate_v	160				
六级命中宝石		18	2	6	6	1	2	2	24300	999	1	1	1	4	1	1	1	1	1	1	1	1	1			addhitrate_v	400				
七级命中宝石		18	2	6	7	1	2	2	72900	999	1	1	1	5	1	1	1	1	1	1	1	1	1			addhitrate_v	700				
一级闪避宝石		18	2	7	1	1	2	2	100	999	1	1	2	2	1	1	1	1	1	1	1	1	1			adddodge_v	10				
二级闪避宝石		18	2	7	2	1	2	2	300	999	1	1	2	2	1	1	1	1	1	1	1	1	1			adddodge_v	20				
三级闪避宝石		18	2	7	3	1	2	2	900	999	1	1	2	3	1	1	1	1	1	1	1	1	1			adddodge_v	40				
四级闪避宝石		18	2	7	4	1	2	2	2700	999	1	1	2	3	1	1	1	1	1	1	1	1	1			adddodge_v	80				
五级闪避宝石		18	2	7	5	1	2	2	8100	999	1	1	2	4	1	1	1	1	1	1	1	1	1			adddodge_v	160				
六级闪避宝石		18	2	7	6	1	2	2	24300	999	1	1	2	4	1	1	1	1	1	1	1	1	1			adddodge_v	400				
七级闪避宝石		18	2	7	7	1	2	2	72900	999	1	1	2	5	1	1	1	1	1	1	1	1	1			adddodge_v	700				
