Name	Id	Genre	DetailType	ParticularType	Level	Bind	Price	CurrencyType	nTimeFrameStartDay	timeSaleStart	timeSaleClose	Rate	Valueable	IsOpen	Count
2级真气宝石	60	18	2	12	2		4	2				50			1
3级真气宝石	61	18	2	12	3		20	2				20			1
4级真气宝石	62	18	2	12	4		100	2				5			1
5级真气宝石	63	18	2	12	5		500	2				2			1
6级真气宝石	64	18	2	12	6		2500	2				1			1
鸿钧剑	65	1	1	41	0		3500	2				1			1
蹬龙阙	66	1	1	42	0		3500	2				1			1
不周柱	67	1	1	43	0		3500	2				1			1
乾坤弩	68	1	1	44	0		3500	2				1			1
腾空剑	69	1	1	33	0		1750	2				5			1
宗林阙	70	1	1	34	0		1750	2				5			1
磐石柱	71	1	1	35	0		1750	2				5			1
精卫弩	72	1	1	36	0		1750	2				5			1
紫阳剑	73	1	1	25	0		350	2				15			1
千仞阙	74	1	1	26	0		350	2				15			1
尧光柱	75	1	1	27	0		350	2				15			1
惊风弩	76	1	1	28	0		350	2				15			1
鸿钧戒指	77	1	7	41	0		2300	2				2			1
蹬龙戒指	78	1	7	42	0		2300	2				2			1
不周戒指	79	1	7	43	0		2300	2				2			1
乾坤戒指	80	1	7	44	0		2300	2				2			1
腾空戒指	81	1	7	33	0		450	2				10			1
宗林戒指	82	1	7	34	0		450	2				10			1
磐石戒指	83	1	7	35	0		450	2				10			1
精卫戒指	84	1	7	36	0		450	2				10			1
紫阳戒指	85	1	7	25	0		240	2				30			1
千仞戒指	86	1	7	26	0		240	2				30			1
尧光戒指	87	1	7	27	0		240	2				30			1
惊风戒指	88	1	7	28	0		240	2				30			1
鸿钧玉佩	89	1	9	41	0		2300	2				2			1
蹬龙玉佩	90	1	9	42	0		2300	2				2			1
不周玉佩	91	1	9	43	0		2300	2				2			1
乾坤玉佩	92	1	9	44	0		2300	2				2			1
腾空玉佩	93	1	9	33	0		450	2				10			1
宗林玉佩	94	1	9	34	0		450	2				10			1
磐石玉佩	95	1	9	35	0		450	2				10			1
精卫玉佩	96	1	9	36	0		450	2				10			1
紫阳玉佩	97	1	9	25	0		240	2				30			1
千仞玉佩	98	1	9	26	0		240	2				30			1
尧光玉佩	99	1	9	27	0		240	2				30			1
惊风玉佩	100	1	9	28	0		240	2				30			1
鸿钧项链	101	1	6	41	0		2300	2				2			1
蹬龙项链	102	1	6	42	0		2300	2				2			1
不周项链	103	1	6	43	0		2300	2				2			1
乾坤项链	104	1	6	44	0		2300	2				2			1
腾空项链	105	1	6	33	0		450	2				10			1
宗林项链	106	1	6	34	0		450	2				10			1
磐石项链	107	1	6	35	0		450	2				10			1
精卫项链	108	1	6	36	0		450	2				10			1
紫阳项链	109	1	6	25	0		240	2				30			1
千仞项链	110	1	6	26	0		240	2				30			1
尧光项链	111	1	6	27	0		240	2				30			1
惊风项链	112	1	6	28	0		240	2				30			1
鸿钧护符	113	1	8	41	0		2300	2				2			1
蹬龙护符	114	1	8	42	0		2300	2				2			1
不周护符	115	1	8	43	0		2300	2				2			1
乾坤护符	116	1	8	44	0		2300	2				2			1
腾空护符	117	1	8	33	0		450	2				10			1
宗林护符	118	1	8	34	0		450	2				10			1
磐石护符	119	1	8	35	0		450	2				10			1
精卫护符	120	1	8	36	0		450	2				10			1
紫阳护符	121	1	8	25	0		240	2				30			1
千仞护符	122	1	8	26	0		240	2				30			1
尧光护符	123	1	8	27	0		240	2				30			1
惊风护符	124	1	8	28	0		240	2				30			1
鸿钧甲	125	1	2	41	0		2300	2				3			1
蹬龙阙	126	1	2	42	0		2300	2				3			1
不周甲	127	1	2	43	0		2300	2				3			1
乾坤甲	128	1	2	44	0		2300	2				3			1
腾空甲	129	1	2	33	0		420	2				15			1
宗林阙	130	1	2	34	0		420	2				15			1
磐石甲	131	1	2	35	0		420	2				15			1
精卫甲	132	1	2	36	0		420	2				15			1
紫阳甲	133	1	2	25	0		210	2				45			1
千仞阙	134	1	2	26	0		210	2				45			1
尧光甲	135	1	2	27	0		210	2				45			1
惊风甲	136	1	2	28	0		210	2				45			1
鸿钧腰带	137	1	4	41	0		2100	2				3			1
蹬龙腰带	138	1	4	42	0		2100	2				3			1
不周腰带	139	1	4	43	0		2100	2				3			1
乾坤腰带	140	1	4	44	0		2100	2				3			1
腾空腰带	141	1	4	33	0		420	2				15			1
宗林腰带	142	1	4	34	0		420	2				15			1
磐石腰带	143	1	4	35	0		420	2				15			1
精卫腰带	144	1	4	36	0		420	2				15			1
紫阳腰带	145	1	4	25	0		210	2				45			1
千仞腰带	146	1	4	26	0		210	2				45			1
尧光腰带	147	1	4	27	0		210	2				45			1
惊风腰带	148	1	4	28	0		210	2				45			1
鸿钧护腕	149	1	3	41	0		2100	2				3			1
蹬龙护腕	150	1	3	42	0		2100	2				3			1
不周护腕	151	1	3	43	0		2100	2				3			1
乾坤护腕	152	1	3	44	0		2100	2				3			1
腾空护腕	153	1	3	33	0		420	2				15			1
宗林护腕	154	1	3	34	0		420	2				15			1
磐石护腕	155	1	3	35	0		420	2				15			1
精卫护腕	156	1	3	36	0		420	2				15			1
紫阳护腕	157	1	3	25	0		210	2				45			1
千仞护腕	158	1	3	26	0		210	2				45			1
尧光护腕	159	1	3	27	0		210	2				45			1
惊风护腕	160	1	3	28	0		210	2				45			1
鸿钧鞋	161	1	5	41	0		2100	2				3			1
蹬龙鞋	162	1	5	42	0		2100	2				3			1
不周鞋	163	1	5	43	0		2100	2				3			1
乾坤鞋	164	1	5	44	0		2100	2				3			1
腾空鞋	165	1	5	33	0		420	2				15			1
宗林鞋	166	1	5	34	0		420	2				15			1
磐石鞋	167	1	5	35	0		420	2				15			1
精卫鞋	168	1	5	36	0		420	2				15			1
紫阳鞋	169	1	5	25	0		210	2				45			1
千仞鞋	170	1	5	26	0		210	2				45			1
尧光鞋	171	1	5	27	0		210	2				45			1
惊风鞋	172	1	5	28	0		210	2				45			1
妖品宠物蛋	173	18	1	23	0		1500	2				15			1
仙品宠物蛋	174	18	1	24	0		3750	2				5			1
神品宠物蛋	175	18	1	25	0		7500	2				1			1
赤烟驹	176	18	3	32	1		2100	2				4			1
火麒麟	177	18	3	33	1		2100	2				4			1
九色鹿	178	18	3	34	1		2100	2				4			1
夜辰豹	179	18	3	35	1		2100	2				4			1
中级金创药	180	17	2	4	0		140	2				40			99
精致金创药	181	17	2	5	0		300	2				20			99
高级金创药	182	17	2	6	0		500	2				10			99
中级元气丹	183	17	3	4	0		140	2				40			99
精致元气丹	184	17	3	5	0		300	2				20			99
高级元气丹	185	17	3	6	0		500	2				10			99
狐小美的帽子	186	24	1	1	0		500	2				10			1
狐小美的帽子	187	24	1	2	0		500	2				10			1
帅小呆的帽子	188	24	1	3	0		500	2				10			1
帅小呆的帽子	189	24	1	4	0		500	2				10			1
熊小团的帽子	190	24	1	5	0		500	2				10			1
熊小团的帽子	191	24	1	6	0		500	2				10			1
孙小囧的帽子	192	24	1	7	0		500	2				10			1
孙小囧的帽子	193	24	1	8	0		500	2				10			1
2级会伤宝石	194	18	2	13	2		4	2				50			1
3级会伤宝石	195	18	2	13	3		20	2				20			1
4级会伤宝石	196	18	2	13	4		100	2				5			1
5级会伤宝石	197	18	2	13	5		500	2				2			1
6级会伤宝石	198	18	2	13	6		2500	2				1			1
坐骑幻化果	199	18	1	30	0		800	2				10			10
坐骑饲料	200	18	1	31	0		800	2				40			20
升阶丸	202	24	2	8	0		1000	2				5			1
初级宠物饲料	203	24	3	1	0		50	2				50			50
宠物经验书	211	24	5	1	0		2000	2				15			1
登天英魂	222	18	1	32	0		100	2				0			1
拘魂令	223	18	1	37	0		1000	2				0			1
登天令	224	18	1	38	0		1000	2				0			1
拘魂锁	225	18	1	39	0		100	2				0			1
化石粉	226	18	1	41	0		50	2				50			5
常胜镖旗	227	18	1	40	0		100	2				40			1
白银狮子	228	18	1	42	0		50	2				60			1
鉴定符	229	18	1	49	0		50	2				50			5
坐骑幻化果	230	18	1	30	0		100	2				50			1
坐骑饲料	231	18	1	31	0		50	2				50			50
还魂丹	232	18	1	213	0		10	2				50			1
时光裂痕	233	18	1	214	0		10	2				50			1
