ID	Desc	Rarity	EquipLevelMin	EquipLevelMax	MagicName	Param1Min	Param1Max	Param2Min	Param2Max	Param3Min	Param3Max	Type
134		3	50	50	addstrth	23	24					0
135		3	50	50	addagile	23	24					0
136		3	50	50	addintel	23	24					0
137		3	50	50	addspirt	23	24					0
138		3	50	50	addmaxlife_v	401	405					0
139		3	50	50	addmaxmana_v	401	405					0
140		3	50	50	addhitrate_v	168	170					0
141		3	50	50	addcriticalrate_v	107	110					0
142		3	50	50	addmagiccriticalrate_v	107	110					0
143		3	50	50	adddodge_v	168	170					0
144		3	50	50	addarmor_v	253	260					0
145		1	60	60	addconst	73	80					0
146		1	60	60	addstrth	19	23					0
147		1	60	60	addagile	19	23					0
148		1	60	60	addintel	19	23					0
149		1	60	60	addspirt	19	23					0
150		1	60	60	addmaxlife_v	360	399					0
151		1	60	60	addmaxmana_v	360	399					0
152		1	60	60	addhitrate_v	179	181					0
153		1	60	60	addcriticalrate_v	130	135					0
154		1	60	60	addmagiccriticalrate_v	130	135					0
155		1	60	60	adddodge_v	179	181					0
156		1	60	60	addarmor_v	281	285					0
157		2	60	60	addconst	81	85					0
158		2	60	60	addstrth	24	27					0
159		2	60	60	addagile	24	27					0
160		2	60	60	addintel	24	27					0
161		2	60	60	addspirt	24	27					0
162		2	60	60	addmaxlife_v	400	425					0
163		2	60	60	addmaxmana_v	400	425					0
164		2	60	60	addhitrate_v	182	184					0
165		2	60	60	addcriticalrate_v	136	140					0
166		2	60	60	addmagiccriticalrate_v	136	140					0
167		2	60	60	adddodge_v	182	184					0
168		2	60	60	addarmor_v	286	290					0
169		3	60	60	addconst	86	88					0
170		3	60	60	addstrth	28	31					0
171		3	60	60	addagile	28	31					0
172		3	60	60	addintel	28	31					0
173		3	60	60	addspirt	28	31					0
174		3	60	60	addmaxlife_v	426	436					0
175		3	60	60	addmaxmana_v	426	436					0
176		3	60	60	addhitrate_v	185	187					0
177		3	60	60	addcriticalrate_v	141	145					0
178		3	60	60	addmagiccriticalrate_v	141	145					0
179		3	60	60	adddodge_v	185	187					0
180		3	60	60	addarmor_v	291	300					0
181		4	60	60	addconst	89	90					0
182		4	60	60	addstrth	32	33					0
183		4	60	60	addagile	32	33					0
184		4	60	60	addintel	32	33					0
185		4	60	60	addspirt	32	33					0
186		4	60	60	addmaxlife_v	437	455					0
187		4	60	60	addmaxmana_v	437	455					0
188		4	60	60	addhitrate_v	188	190					0
189		4	60	60	addcriticalrate_v	146	150					0
190		4	60	60	addmagiccriticalrate_v	146	150					0
191		4	60	60	adddodge_v	188	190					0
192		4	60	60	addarmor_v	301	310					0
193		1			addrunspeed_p	5	5					5
194		2			addrunspeed_p	10	10					5
195		3			addrunspeed_p	15	15					5
196		4			addrunspeed_p	20	20					5
