KindId	Id	Desc	RandomCount	Probability	Name	Exp	Money	YLEnergy	Genre	DetailType	ParticularType	Level	EnhTimes	Amount	Bind	TimeLimit	Announce	KinOrTongMsg	MoneyType	MoneyCount
9	1		1	30	小宝兔幻化丹				18	1	31	0		3			%s在开启2级家族礼包时幸运的获得了三倍坐骑丹奖励！			
9	1		1	30	中级经验丹				18	1	652	0		3			%s在开启2级家族礼包时幸运的获得了三倍经验丹奖励！			
9	1		1	30	100绑元				18	1	628	0		3			%s在开启2级家族礼包时幸运的获得了三倍绑定元宝奖励！			
9	1		1	30	神仙技能书				24	8	1	0		3			%s在开启2级家族礼包时幸运的获得了三倍神仙技能书奖励！			
10	1		1	100	1000银两				18	1	280	0		1						
10	1		1	100	小宝兔幻化丹				18	1	31	0		1						
10	1		1	100	中级经验丹				18	1	652	0		1						
10	1		1	100	100绑元				18	1	628	0		1						
10	1		1	100	神仙技能书				24	8	1	0		1						
10	1		1	15	1000银两				18	1	280	0		6			%s在开启3级家族礼包时幸运的获得了六倍银两奖励，幸运的光环再度降临！			
10	1		1	15	小宝兔幻化丹				18	1	31	0		6			%s在开启3级家族礼包时幸运的获得了六倍坐骑丹奖励，幸运的光环再度降临！			
10	1		1	15	中级经验丹				18	1	652	0		6			%s在开启3级家族礼包时幸运的获得了六倍经验丹奖励，幸运的光环再度降临！			
10	1		1	15	100绑元				18	1	628	0		6			%s在开启3级家族礼包时幸运的获得了六倍绑定元宝奖励，幸运的光环再度降临！			
10	1		1	15	神仙技能书				24	8	1	0		6			%s在开启3级家族礼包时幸运的获得了六倍神仙技能书奖励，幸运的光环再度降临！			
11	1		1	100	1000银两				18	1	280	0		1						
11	1		1	100	小宝兔幻化丹				18	1	31	0		1						
11	1		1	100	中级经验丹				18	1	652	0		1						
11	1		1	100	100绑元				18	1	628	0		1						
11	1		1	100	神仙技能书				24	8	1	0		1						
11	1		1	8	1000银两				18	1	280	0		9			%s在开启4级家族礼包时幸运的获得了九倍银两奖励，新一代RP帝诞生了！			
11	1		1	8	小宝兔幻化丹				18	1	31	0		9			%s在开启4级家族礼包时幸运的获得了九倍坐骑丹奖励，新一代RP帝诞生了！			
11	1		1	8	中级经验丹				18	1	652	0		9			%s在开启4级家族礼包时幸运的获得了九倍经验丹奖励，新一代RP帝诞生了！			
11	1		1	8	100绑元				18	1	628	0		9			%s在开启4级家族礼包时幸运的获得了九倍绑定元宝奖励，新一代RP帝诞生了！			
11	1		1	8	神仙技能书				24	8	1	0		9			%s在开启4级家族礼包时幸运的获得了九倍神仙技能书奖励，新一代RP帝诞生了！			
12	1		1	1	蓝神仙				24	18	1	0		1						
12	1		1	1	蓝神仙				24	19	1	0		1						
12	1		1	1	蓝神仙				24	20	1	0		1						
12	1		1	1	蓝神仙				24	21	1	0		1						
13	1		1	1	紫神仙				24	22	1	0		1						
13	1		1	1	紫神仙				24	23	1	0		1						
13	1		1	1	紫神仙				24	24	1	0		1						
13	1		1	1	紫神仙				24	25	1	0		1						
14	1		1	1	橙神仙				24	26	1	0		1						
14	1		1	1	橙神仙				24	27	1	0		1						
14	1		1	1	橙神仙				24	28	1	0		1						
14	1		1	1	橙神仙				24	29	1	0		1						
15	1		1	1					1	13	4	1		1						
15	2		1	1					1	12	6	0		1						
15	3		1	1					1	11	3	0		1						
16	1		1	1					1	13	13	1		1						
16	2		1	1					1	12	9	0		1						
16	3		1	1					1	11	7	0		1						
17	1		1	50					18	2	1	1		1						
17	2		1	100					18	2	1	2		1						
17	3		1	25					18	2	1	3		1			%s在开启宝石精粹时意外获得了一颗三级宝石！			
17	4		1	5					18	2	1	4		1			%s在开启宝石精粹时意外获得了一颗四级宝石！			
17	5		1	50					18	2	2	1		1						
17	6		1	100					18	2	2	2		1						
17	7		1	25					18	2	2	3		1			%s在开启宝石精粹时意外获得了一颗三级宝石！			
17	8		1	5					18	2	2	4		1			%s在开启宝石精粹时意外获得了一颗四级宝石！			
17	9		1	50					18	2	3	1		1						
17	10		1	100					18	2	3	2		1						
17	11		1	25					18	2	3	3		1			%s在开启宝石精粹时意外获得了一颗三级宝石！			
17	12		1	5					18	2	3	4		1			%s在开启宝石精粹时意外获得了一颗四级宝石！			
17	13		1	50					18	2	4	1		1						
17	14		1	100					18	2	4	2		1						
17	15		1	25					18	2	4	3		1			%s在开启宝石精粹时意外获得了一颗三级宝石！			
17	16		1	5					18	2	4	4		1			%s在开启宝石精粹时意外获得了一颗四级宝石！			
17	17		1	50					18	2	5	1		1						
17	18		1	100					18	2	5	2		1						
17	19		1	25					18	2	5	3		1			%s在开启宝石精粹时意外获得了一颗三级宝石！			
17	20		1	5					18	2	5	4		1			%s在开启宝石精粹时意外获得了一颗四级宝石！			
17	21		1	50					18	2	6	1		1						
17	22		1	100					18	2	6	2		1						
17	23		1	25					18	2	6	3		1			%s在开启宝石精粹时意外获得了一颗三级宝石！			
17	24		1	5					18	2	6	4		1			%s在开启宝石精粹时意外获得了一颗四级宝石！			
17	25		1	50					18	2	7	1		1						
17	26		1	100					18	2	7	2		1						
17	27		1	25					18	2	7	3		1			%s在开启宝石精粹时意外获得了一颗三级宝石！			
17	28		1	5					18	2	7	4		1			%s在开启宝石精粹时意外获得了一颗四级宝石！			
18	1		1	1					18	1	682	0		1						
19	1		1	1000					18	2	1	3		1						
19	2		1	750					18	2	1	4		1						
19	3		1	150					18	2	1	5		1						
19	4		1	35					18	2	1	6		1			%s在开启高级宝石精粹时意外获得了一颗六级宝石！			
19	5		1	1					18	2	1	7		1			%s在开启高级宝石精粹时意外获得了一颗七级宝石！			
19	6		1	1000					18	2	2	3		1						
19	7		1	750					18	2	2	4		1						
19	8		1	150					18	2	2	5		1						
19	9		1	35					18	2	2	6		1			%s在开启高级宝石精粹时意外获得了一颗六级宝石！			
19	10		1	1					18	2	2	7		1			%s在开启高级宝石精粹时意外获得了一颗七级宝石！			
19	11		1	1000					18	2	3	3		1						
19	12		1	750					18	2	3	4		1						
19	13		1	150					18	2	3	5		1						
19	14		1	35					18	2	3	6		1			%s在开启高级宝石精粹时意外获得了一颗六级宝石！			
19	15		1	1					18	2	3	7		1			%s在开启高级宝石精粹时意外获得了一颗七级宝石！			
19	16		1	1000					18	2	4	3		1						
19	17		1	750					18	2	4	4		1						
19	18		1	150					18	2	4	5		1						
19	19		1	35					18	2	4	6		1			%s在开启高级宝石精粹时意外获得了一颗六级宝石！			
19	20		1	1					18	2	4	7		1			%s在开启高级宝石精粹时意外获得了一颗七级宝石！			
19	21		1	1000					18	2	5	3		1						
19	22		1	750					18	2	5	4		1						
19	23		1	150					18	2	5	5		1						
19	24		1	35					18	2	5	6		1			%s在开启高级宝石精粹时意外获得了一颗六级宝石！			
19	25		1	1					18	2	5	7		1			%s在开启高级宝石精粹时意外获得了一颗七级宝石！			
19	26		1	1000					18	2	6	3		1						
19	27		1	750					18	2	6	4		1						
19	28		1	150					18	2	6	5		1						
19	29		1	35					18	2	6	6		1			%s在开启高级宝石精粹时意外获得了一颗六级宝石！			
19	30		1	1					18	2	6	7		1			%s在开启高级宝石精粹时意外获得了一颗七级宝石！			
19	31		1	1000					18	2	7	3		1						
19	32		1	750					18	2	7	4		1						
19	33		1	150					18	2	7	5		1						
19	34		1	35					18	2	7	6		1			%s在开启高级宝石精粹时意外获得了一颗六级宝石！			
19	35		1	1					18	2	7	7		1			%s在开启高级宝石精粹时意外获得了一颗七级宝石！			
20	1		1	1					18	1	683	0		1						
21	1		1	1	初级攻击丹				18	1	150	0		1						
21	2		1	1	初级生命丹				18	1	153	0		1						
21	3		1	1	初级暴击丹				18	1	156	0		1						
21	4		1	1	初级防御丹				18	1	159	0		1						
21	5		1	1	初级抗暴丹				18	1	162	0		1						
21	6		1	1	初级闪避丹				18	1	165	0		1						
21	7		1	1	初级命中丹				18	1	168	0		1						
22	1		1	1	中级攻击丹				18	1	151	0		1						
22	2		1	1	中级生命丹				18	1	154	0		1						
22	3		1	1	中级暴击丹				18	1	157	0		1						
22	4		1	1	中级防御丹				18	1	160	0		1						
22	5		1	1	中级抗暴丹				18	1	163	0		1						
22	6		1	1	中级闪避丹				18	1	166	0		1						
22	7		1	1	中级命中丹				18	1	169	0		1						
23	1		1	1	高级攻击丹				18	1	152	0		1						
23	2		1	1	高级生命丹				18	1	155	0		1						
23	3		1	1	高级暴击丹				18	1	158	0		1						
23	4		1	1	高级防御丹				18	1	161	0		1						
23	5		1	1	高级抗暴丹				18	1	164	0		1						
23	6		1	1	高级闪避丹				18	1	167	0		1						
23	7		1	1	高级命中丹				18	1	170	0		1						
24	1		1	1	一级生命宝石				18	2	1	1		1						
24	2		1	1					18	2	2	1		1						
24	3		1	1					18	2	3	1		1						
24	4		1	1					18	2	4	1		1						
24	5		1	1					18	2	5	1		1						
24	6		1	1					18	2	6	1		1						
24	7		1	1					18	2	7	1		1						
25	1		1	1					18	2	1	2		1						
25	2		1	1					18	2	2	2		1						
25	3		1	1					18	2	3	2		1						
25	4		1	1					18	2	4	2		1						
25	5		1	1					18	2	5	2		1						
25	6		1	1					18	2	6	2		1						
25	7		1	1					18	2	7	2		1						
26	1		1	1					18	2	1	3		1						
26	2		1	1					18	2	2	3		1						
26	3		1	1					18	2	3	3		1						
26	4		1	1					18	2	4	3		1						
26	5		1	1					18	2	5	3		1						
26	6		1	1					18	2	6	3		1						
26	7		1	1					18	2	7	3		1						
27	1		1	1					18	2	1	4		1						
27	2		1	1					18	2	2	4		1						
27	3		1	1					18	2	3	4		1						
27	4		1	1					18	2	4	4		1						
27	5		1	1					18	2	5	4		1						
27	6		1	1					18	2	6	4		1						
27	7		1	1					18	2	7	4		1						
28	1		1	1					18	2	1	5		1						
28	2		1	1					18	2	2	5		1						
28	3		1	1					18	2	3	5		1						
28	4		1	1					18	2	4	5		1						
28	5		1	1					18	2	5	5		1						
28	6		1	1					18	2	6	5		1						
28	7		1	1					18	2	7	5		1						
29	1		1	1					18	2	1	6		1						
29	2		1	1					18	2	2	6		1						
29	3		1	1					18	2	3	6		1						
29	4		1	1					18	2	4	6		1						
29	5		1	1					18	2	5	6		1						
29	6		1	1					18	2	6	6		1						
29	7		1	1					18	2	7	6		1						
30	1		1	1					18	2	1	7		1						
30	2		1	1					18	2	2	7		1						
30	3		1	1					18	2	3	7		1						
30	4		1	1					18	2	4	7		1						
30	5		1	1					18	2	5	7		1						
30	6		1	1					18	2	6	7		1						
30	7		1	1					18	2	7	7		1						
